split,date,daily_return_pct,cumulative_equity
VALIDATION,2025-10-16,0.675579,1003496.1239177847
VALIDATION,2025-10-17,0.271333,1006218.9405681753
VALIDATION,2025-10-20,1.796526,1024295.9239666128
VALIDATION,2025-10-21,0.238606,1026739.9591228628
VALIDATION,2025-10-23,0.051726,1027271.047501769
VALIDATION,2025-10-24,-0.621779,1020883.6891033315
VALIDATION,2025-10-27,-0.20409,1018800.1715252065
VALIDATION,2025-10-28,-1.064728,1007952.7240154409
VALIDATION,2025-10-29,0.228582,1010256.7249920034
VALIDATION,2025-10-30,-0.343248,1006789.036743371
VALIDATION,2025-10-31,0.851561,1015362.4564821406
VALIDATION,2025-11-03,1.571335,1031317.1987459345
VALIDATION,2025-11-04,-0.404087,1027149.7844698115
VALIDATION,2025-11-06,-0.402249,1023018.0884401484
VALIDATION,2025-11-07,1.826861,1041707.207321374
VALIDATION,2025-11-10,-0.124418,1040411.1320955439
VALIDATION,2025-11-11,-0.770014,1032399.8223116084
VALIDATION,2025-11-12,0.470345,1037255.6624147578
VALIDATION,2025-11-13,-0.542834,1031625.0902254267
VALIDATION,2025-11-14,1.137407,1043358.8659608648
VALIDATION,2025-11-17,0.650189,1050142.669122486
VALIDATION,2025-11-18,0.289003,1053177.6126039312
VALIDATION,2025-11-19,0.437275,1057782.8940980718
VALIDATION,2025-11-20,-1.20547,1045031.6343324468
VALIDATION,2025-11-21,-0.893798,1035691.1595399664
VALIDATION,2025-11-24,-0.214503,1033469.5740907476
VALIDATION,2025-11-25,0.758607,1041309.5461366461
VALIDATION,2025-11-26,1.427648,1056175.7807557867
VALIDATION,2025-11-27,-0.003303,1056140.8940370367
VALIDATION,2025-11-28,-0.565335,1050170.160500627
VALIDATION,2025-12-01,-0.367963,1046305.9205561691
VALIDATION,2025-12-02,0.317941,1049632.5508662276
VALIDATION,2025-12-03,-1.541448,1033453.0062800461
VALIDATION,2025-12-04,0.049929,1033968.9995661789
VALIDATION,2025-12-05,1.394969,1048392.5510798508
VALIDATION,2025-12-08,-1.559034,1032047.7584773117
VALIDATION,2025-12-09,1.810397,1050731.918465715
VALIDATION,2025-12-10,0.023546,1050979.325295549
VALIDATION,2025-12-11,-0.60052,1044667.9833460861
VALIDATION,2025-12-12,0.340725,1048227.4327864733
VALIDATION,2025-12-15,0.49564,1053422.8702254381
VALIDATION,2025-12-16,-0.486738,1048295.46470786
VALIDATION,2025-12-17,0.024348,1048550.7043929186
VALIDATION,2025-12-18,0.110099,1049705.1464705553
VALIDATION,2025-12-19,0.89508,1059100.8519759264
VALIDATION,2025-12-22,0.62952,1065768.1040206042
VALIDATION,2025-12-23,-0.604712,1059323.2754988756
VALIDATION,2025-12-24,0.002157,1059346.121110448
VALIDATION,2025-12-26,-0.091649,1058375.2368331042
VALIDATION,2025-12-29,0.684686,1065621.7819980627
VALIDATION,2025-12-30,0.817579,1074334.0790409094
VALIDATION,2025-12-31,0.937504,1084406.008102799
VALIDATION,2026-01-01,0.565279,1090535.9294132239
VALIDATION,2026-01-02,0.316717,1093989.8378757483
VALIDATION,2026-01-05,0.354069,1097863.3155063635
VALIDATION,2026-01-06,-0.534949,1091990.30773964
VALIDATION,2026-01-07,0.17597,1093911.8791660315
VALIDATION,2026-02-03,3.548744,1132732.0156101233
TEST,2026-02-23,1.562011,1011628.4227333167
TEST,2026-04-15,-1.522436,996227.0308876135
TEST,2026-04-16,0.401502,1000226.901004801
TEST,2026-04-17,0.263495,1002862.4530067542
TEST,2026-04-20,1.119283,1014087.3194618323
TEST,2026-04-21,-0.066805,1013409.8592567542
TEST,2026-04-22,0.320267,1016655.4783973792
TEST,2026-05-06,2.84235,1045552.381473551
TEST,2026-05-07,1.91688,1065594.3629188635
TEST,2026-05-25,-4.50659,1017572.3966525139
TEST,2026-06-15,0.626044,1023942.8480990471
TEST,2026-06-16,-0.387694,1019973.0858614983
TEST,2026-06-17,0.406609,1024120.3885348381
TEST,2026-06-18,1.317108,1037609.1628268303
TEST,2026-06-19,-0.171812,1035826.4291537346
TEST,2026-06-22,0.205514,1037955.1985018791
TEST,2026-06-24,-1.20383,1025459.9784091057
TEST,2026-06-25,-1.297269,1012157.0030062736
TEST,2026-06-29,-1.828005,993654.7232211174
TEST,2026-06-30,3.530572,1028736.4234713411
TEST,2026-07-01,-1.15158,1016889.7020663118
TEST,2026-07-02,-0.293418,1013905.9656161165
TEST,2026-07-03,-0.213497,1011741.3057345247
TEST,2026-07-06,-0.13868,1010338.2213839388
TEST,2026-07-07,-1.104131,999182.7657564974
TEST,2026-07-09,-0.558663,993600.701547513
TEST,2026-07-10,0.351706,997095.2538241243
TEST,2026-07-13,0.266198,999749.5047396517
TEST,2026-07-14,0.15261,1001275.2218417025
TEST,2026-07-15,-0.206934,999203.2430115809
TEST,2026-07-16,-0.041896,998784.6214295496
TEST,2026-07-17,-0.344069,995348.1097718348
TEST,2026-07-20,0.875591,1004063.2923585047
TEST,2026-07-21,0.428928,1008370.0057068934
TEST,2026-07-22,-0.266786,1005679.8123475184
