date,cash,mtm_pos_val,total_equity,open_positions_cnt,split
2025-10-15,7675.349747862798,989086.8537597656,996762.2035076284,10,VALIDATION
2025-10-16,7675.349747862798,995820.7741699219,1003496.1239177847,10,VALIDATION
2025-10-17,7675.349747862798,998543.5908203125,1006218.9405681753,10,VALIDATION
2025-10-20,7675.349747862798,1016620.57421875,1024295.9239666128,10,VALIDATION
2025-10-21,7675.349747862798,1019064.609375,1026739.9591228628,10,VALIDATION
2025-10-23,7675.349747862798,1019595.6977539062,1027271.047501769,10,VALIDATION
2025-10-24,7675.349747862798,1013208.3393554688,1020883.6891033315,10,VALIDATION
2025-10-27,7675.349747862798,1011124.8217773438,1018800.1715252065,10,VALIDATION
2025-10-28,7675.349747862798,1000277.3742675781,1007952.7240154409,10,VALIDATION
2025-10-29,7675.349747862798,1002581.3752441406,1010256.7249920034,10,VALIDATION
2025-10-30,6744.676544396381,1000044.3601989746,1006789.036743371,10,VALIDATION
2025-10-31,6744.676544396381,1008617.7799377441,1015362.4564821406,10,VALIDATION
2025-11-03,6744.676544396381,1024572.5222015381,1031317.1987459345,10,VALIDATION
2025-11-04,6744.676544396381,1020405.107925415,1027149.7844698115,10,VALIDATION
2025-11-06,6744.676544396381,1016273.411895752,1023018.0884401484,10,VALIDATION
2025-11-07,6744.676544396381,1034962.5307769775,1041707.207321374,10,VALIDATION
2025-11-10,6744.676544396381,1033666.4555511475,1040411.1320955439,10,VALIDATION
2025-11-11,6744.676544396381,1025655.1457672119,1032399.8223116084,10,VALIDATION
2025-11-12,6744.676544396381,1030510.9858703613,1037255.6624147578,10,VALIDATION
2025-11-13,6744.676544396381,1024880.4136810303,1031625.0902254267,10,VALIDATION
2025-11-14,55469.4932191656,987889.3727416992,1043358.8659608648,10,VALIDATION
2025-11-17,55469.4932191656,994673.1759033203,1050142.669122486,10,VALIDATION
2025-11-18,55469.4932191656,997708.1193847656,1053177.6126039312,10,VALIDATION
2025-11-19,55469.4932191656,1002313.4008789062,1057782.8940980718,10,VALIDATION
2025-11-20,55469.4932191656,989562.1411132812,1045031.6343324468,10,VALIDATION
2025-11-21,55469.4932191656,980221.6663208008,1035691.1595399664,10,VALIDATION
2025-11-24,55469.4932191656,978000.080871582,1033469.5740907476,10,VALIDATION
