signal_date,symbol,strategy_name,composite_score,forward_10d_return,split
2025-11-07,3MINDIA,RS Momentum Breakout,0.7446808510638299,1.1266,VALIDATION
2025-11-10,3MINDIA,RS Momentum Breakout,0.763888888888889,-1.8056,VALIDATION
2025-11-11,3MINDIA,RS Momentum Breakout,0.4533333333333333,-2.2438,VALIDATION
2025-11-12,3MINDIA,RS Momentum Breakout,0.4272727272727272,-1.8785,VALIDATION
2025-11-13,3MINDIA,RS Momentum Breakout,0.5,-3.1652,VALIDATION
2025-11-14,3MINDIA,RS Momentum Breakout,0.4466666666666667,-2.7902,VALIDATION
2025-11-17,3MINDIA,RS Momentum Breakout,0.52,-4.3544,VALIDATION
2025-11-18,3MINDIA,RS Momentum Breakout,0.5510204081632654,-3.7396,VALIDATION
2025-11-19,3MINDIA,RS Momentum Breakout,0.5308641975308642,-4.0839,VALIDATION
2025-11-20,3MINDIA,RS Momentum Breakout,0.5030303030303029,-2.8108,VALIDATION
2025-11-21,3MINDIA,RS Momentum Breakout,0.4874213836477987,-3.7512,VALIDATION
2025-11-24,3MINDIA,RS Momentum Breakout,0.4795918367346938,-0.5271,VALIDATION
2025-11-25,3MINDIA,RS Momentum Breakout,0.5196078431372548,-2.2805,VALIDATION
2025-11-26,3MINDIA,RS Momentum Breakout,0.4444444444444444,-3.4343,VALIDATION
2025-11-27,3MINDIA,EMA Pullback / Bounce,0.2527777777777778,-1.373,VALIDATION
2025-11-27,3MINDIA,RS Momentum Breakout,0.2527777777777778,-1.373,VALIDATION
2025-11-28,3MINDIA,VCP Volatility Contraction Breakout,0.2860696517412935,0.8244,VALIDATION
2025-11-28,3MINDIA,EMA Pullback / Bounce,0.2860696517412935,0.8244,VALIDATION
2025-12-01,3MINDIA,VCP Volatility Contraction Breakout,0.2611111111111111,2.1542,VALIDATION
2025-12-01,3MINDIA,EMA Pullback / Bounce,0.2611111111111111,2.1542,VALIDATION
2025-12-02,3MINDIA,VCP Volatility Contraction Breakout,0.2604166666666667,1.7842,VALIDATION
2025-12-02,3MINDIA,EMA Pullback / Bounce,0.2604166666666667,1.7842,VALIDATION
2025-12-03,3MINDIA,VCP Volatility Contraction Breakout,0.2857142857142857,1.0644,VALIDATION
2025-12-03,3MINDIA,EMA Pullback / Bounce,0.2857142857142857,1.0644,VALIDATION
2025-12-04,3MINDIA,VCP Volatility Contraction Breakout,0.4845679012345679,0.7046,VALIDATION
2025-12-04,3MINDIA,EMA Pullback / Bounce,0.4845679012345679,0.7046,VALIDATION
2025-12-05,3MINDIA,EMA Pullback / Bounce,0.15625,2.1828,VALIDATION
2025-12-08,3MINDIA,EMA Pullback / Bounce,0.6868686868686869,2.2655,VALIDATION
2025-12-09,3MINDIA,EMA Pullback / Bounce,0.3703703703703704,1.493,VALIDATION
2025-12-10,3MINDIA,EMA Pullback / Bounce,0.5213675213675214,0.392,VALIDATION
