split_name,mode_code,mode_name,net_return_pct,daily_sharpe,max_drawdown_pct,win_rate_pct,profit_factor,executed_trades,mean_trade_return_pct,median_trade_return_pct,average_winner_pct,average_loser_pct,total_costs_inr,total_slippage_inr,avg_holding_days,avg_open_positions
VALIDATION,A_CONTROL,A. Control (Fixed 10-Day Exit),10.9,3.3,2.32,52.0,1.92,50,0.88,1.03,3.53,-1.99,12034.06,5003.04,10.0,10.0
TEST,A_CONTROL,A. Control (Fixed 10-Day Exit),0.59,0.48,6.73,50.0,1.04,30,0.14,-0.91,7.23,-6.96,7113.86,2954.14,10.0,10.0
VALIDATION,B_ATR_TRAILING,B. ATR Trailing Stop (2.5x ATR),1.71,0.9,4.97,47.0,0.91,66,-0.15,-0.41,3.01,-2.94,15713.69,6535.34,7.7,9.58
TEST,B_ATR_TRAILING,B. ATR Trailing Stop (2.5x ATR),2.47,1.5,5.86,51.1,1.18,47,0.49,0.08,6.22,-5.49,11220.01,4661.47,6.1,9.81
VALIDATION,C_TIME_DECAY,C. Time-Decay Exit (Day 3 Return <= 0%),5.27,2.08,3.58,33.7,1.34,83,0.38,-0.9,4.48,-1.7,19847.89,8251.05,6.3,9.97
TEST,C_TIME_DECAY,C. Time-Decay Exit (Day 3 Return <= 0%),7.35,2.86,7.09,25.9,1.43,54,1.04,-2.03,13.4,-3.28,12805.1,5305.27,5.9,9.81
VALIDATION,D_COMBINED,D. ATR Stop + Time-Decay (Combined B+C),-2.15,-0.69,6.94,25.3,0.67,91,-0.5,-1.15,3.94,-2.0,21693.87,9032.85,5.4,9.15
TEST,D_COMBINED,D. ATR Stop + Time-Decay (Combined B+C),-1.15,-0.25,6.38,31.8,0.89,66,-0.28,-1.72,7.14,-3.74,15590.65,6476.04,4.8,9.64
VALIDATION,E_VOL_SIZING,E. Volatility-Adjusted Sizing (1.5% Risk),7.6,2.59,2.56,46.7,1.45,30,0.48,-0.62,3.25,-1.94,10350.79,4567.53,10.0,6.0
TEST,E_VOL_SIZING,E. Volatility-Adjusted Sizing (1.5% Risk),4.42,1.63,6.85,55.6,1.43,18,1.49,1.77,8.21,-6.91,6308.42,2783.52,10.0,6.0
