split_name,mode_code,regime_name,executed_trades,win_rate_pct,mean_return_pct,total_pnl_inr
VALIDATION,A_CONTROL,BULLISH,136,52.9,0.78,106583.28
VALIDATION,A_CONTROL,BEARISH_NEUTRAL,0,0.0,0.0,0.0
TEST,A_CONTROL,BULLISH,80,52.5,0.37,29504.22
TEST,A_CONTROL,BEARISH_NEUTRAL,0,0.0,0.0,0.0
VALIDATION,B_ATR_TRAILING,BULLISH,188,44.7,-0.36,-68177.33
VALIDATION,B_ATR_TRAILING,BEARISH_NEUTRAL,0,0.0,0.0,0.0
TEST,B_ATR_TRAILING,BULLISH,107,50.5,0.19,19973.67
TEST,B_ATR_TRAILING,BEARISH_NEUTRAL,0,0.0,0.0,0.0
VALIDATION,C_TIME_DECAY,BULLISH,205,31.7,0.16,31872.69
VALIDATION,C_TIME_DECAY,BEARISH_NEUTRAL,0,0.0,0.0,0.0
TEST,C_TIME_DECAY,BULLISH,152,25.0,0.78,119172.96
TEST,C_TIME_DECAY,BEARISH_NEUTRAL,0,0.0,0.0,0.0
VALIDATION,D_COMBINED,BULLISH,229,24.5,-0.65,-149176.18
VALIDATION,D_COMBINED,BEARISH_NEUTRAL,0,0.0,0.0,0.0
TEST,D_COMBINED,BULLISH,161,30.4,-0.5,-80469.22
TEST,D_COMBINED,BEARISH_NEUTRAL,0,0.0,0.0,0.0
VALIDATION,E_VOL_SIZING,BULLISH,74,51.4,0.54,59527.94
VALIDATION,E_VOL_SIZING,BEARISH_NEUTRAL,0,0.0,0.0,0.0
TEST,E_VOL_SIZING,BULLISH,45,57.8,1.66,103480.26
TEST,E_VOL_SIZING,BEARISH_NEUTRAL,0,0.0,0.0,0.0
