split_name,mode_code,strategy_name,executed_trades,win_rate_pct,mean_return_pct,total_pnl_inr
VALIDATION,A_CONTROL,Donchian Channel Breakout,8,62.5,2.45,19578.62
VALIDATION,A_CONTROL,RS Momentum Breakout,18,44.4,0.22,4023.57
VALIDATION,A_CONTROL,True Connors RSI Mean Reversion,6,66.7,3.19,19123.7
VALIDATION,A_CONTROL,True NR7 Volatility Expansion Breakout,9,44.4,-0.12,-1087.06
VALIDATION,A_CONTROL,VCP Volatility Contraction Breakout,9,55.6,0.25,2267.65
TEST,A_CONTROL,Donchian Channel Breakout,8,37.5,-1.03,-8202.98
TEST,A_CONTROL,RS Momentum Breakout,11,54.5,0.49,5374.63
TEST,A_CONTROL,True Connors RSI Mean Reversion,5,40.0,-1.76,-8815.51
TEST,A_CONTROL,True NR7 Volatility Expansion Breakout,4,75.0,3.63,14532.68
TEST,A_CONTROL,VCP Volatility Contraction Breakout,2,50.0,0.59,1178.52
VALIDATION,B_ATR_TRAILING,Donchian Channel Breakout,13,38.5,-0.23,-2949.0
VALIDATION,B_ATR_TRAILING,EMA Pullback / Bounce,1,100.0,2.58,2578.95
VALIDATION,B_ATR_TRAILING,RS Momentum Breakout,23,43.5,-0.25,-5755.51
VALIDATION,B_ATR_TRAILING,True Connors RSI Mean Reversion,10,80.0,1.51,15061.11
VALIDATION,B_ATR_TRAILING,True NR7 Volatility Expansion Breakout,7,28.6,-0.19,-1336.98
VALIDATION,B_ATR_TRAILING,VCP Volatility Contraction Breakout,12,41.7,-1.44,-17288.35
TEST,B_ATR_TRAILING,Donchian Channel Breakout,13,69.2,2.52,32747.11
TEST,B_ATR_TRAILING,RS Momentum Breakout,21,47.6,0.46,9616.87
TEST,B_ATR_TRAILING,True Connors RSI Mean Reversion,7,28.6,-3.3,-23094.86
TEST,B_ATR_TRAILING,True NR7 Volatility Expansion Breakout,4,75.0,2.77,11094.73
TEST,B_ATR_TRAILING,VCP Volatility Contraction Breakout,2,0.0,-3.72,-7447.22
VALIDATION,C_TIME_DECAY,Donchian Channel Breakout,16,25.0,0.2,3266.08
VALIDATION,C_TIME_DECAY,EMA Pullback / Bounce,2,50.0,1.33,2666.91
VALIDATION,C_TIME_DECAY,RS Momentum Breakout,31,32.3,0.49,15156.93
VALIDATION,C_TIME_DECAY,True Connors RSI Mean Reversion,14,57.1,1.68,23455.6
VALIDATION,C_TIME_DECAY,True NR7 Volatility Expansion Breakout,8,37.5,-0.43,-3411.67
VALIDATION,C_TIME_DECAY,VCP Volatility Contraction Breakout,12,16.7,-0.78,-9382.16
TEST,C_TIME_DECAY,Donchian Channel Breakout,14,35.7,4.27,59712.09
TEST,C_TIME_DECAY,RS Momentum Breakout,18,33.3,1.91,34389.01
TEST,C_TIME_DECAY,True Connors RSI Mean Reversion,6,0.0,-3.88,-23257.41
TEST,C_TIME_DECAY,True NR7 Volatility Expansion Breakout,13,23.1,-0.53,-6925.49
TEST,C_TIME_DECAY,VCP Volatility Contraction Breakout,3,0.0,-2.54,-7628.22
VALIDATION,D_COMBINED,Donchian Channel Breakout,22,18.2,-0.64,-14134.23
VALIDATION,D_COMBINED,EMA Pullback / Bounce,4,50.0,0.4,1586.78
VALIDATION,D_COMBINED,RS Momentum Breakout,33,24.2,-0.29,-9572.42
VALIDATION,D_COMBINED,True Connors RSI Mean Reversion,11,63.6,1.24,13629.94
VALIDATION,D_COMBINED,True NR7 Volatility Expansion Breakout,8,12.5,-1.46,-11681.63
VALIDATION,D_COMBINED,VCP Volatility Contraction Breakout,13,7.7,-1.94,-25192.38
TEST,D_COMBINED,Donchian Channel Breakout,17,41.2,1.02,17346.48
TEST,D_COMBINED,RS Momentum Breakout,27,29.6,-0.46,-12440.47
TEST,D_COMBINED,True Connors RSI Mean Reversion,10,20.0,-2.03,-20288.04
TEST,D_COMBINED,True NR7 Volatility Expansion Breakout,8,37.5,0.33,2669.84
TEST,D_COMBINED,VCP Volatility Contraction Breakout,4,25.0,-1.44,-5749.12
VALIDATION,E_VOL_SIZING,Donchian Channel Breakout,7,57.1,1.87,19675.7
VALIDATION,E_VOL_SIZING,RS Momentum Breakout,16,43.8,0.15,2862.0
VALIDATION,E_VOL_SIZING,VCP Volatility Contraction Breakout,7,42.9,-0.15,-1428.75
TEST,E_VOL_SIZING,Donchian Channel Breakout,6,50.0,2.72,22706.49
TEST,E_VOL_SIZING,RS Momentum Breakout,10,60.0,0.91,12051.49
TEST,E_VOL_SIZING,VCP Volatility Contraction Breakout,2,50.0,0.64,1683.15
