symbol,strategy_name,signal_date,entry_date,exit_date,entry_price,exit_price,quantity,allocated_capital,net_pnl,net_return_pct,days_held,total_costs,split
BAJFINANCE,RS Momentum Breakout,2025-10-15,2025-10-16,2025-10-31,1055.51,1036.428955078125,94,100000.0,-2029.3636753222672,-2.029363675322267,10,235.74545266601564,VALIDATION
BAJFINANCE,VCP Volatility Contraction Breakout,2025-10-15,2025-10-16,2025-10-31,1055.51,1036.428955078125,94,100000.0,-2029.3636753222672,-2.029363675322267,10,235.74545266601564,VALIDATION
BAJFINANCE,Donchian Channel Breakout,2025-10-15,2025-10-16,2025-10-31,1055.51,1036.428955078125,94,100000.0,-2029.3636753222672,-2.029363675322267,10,235.74545266601564,VALIDATION
ALKEM,Donchian Channel Breakout,2025-10-15,2025-10-16,2025-10-31,5511.62,5452.70556640625,18,100000.0,-1297.287434980477,-1.2972874349804768,10,236.82763029296876,VALIDATION
ALKEM,VCP Volatility Contraction Breakout,2025-10-15,2025-10-16,2025-10-31,5511.62,5452.70556640625,18,100000.0,-1297.287434980477,-1.2972874349804768,10,236.82763029296876,VALIDATION
ALKEM,RS Momentum Breakout,2025-10-15,2025-10-16,2025-10-31,5511.62,5452.70556640625,18,100000.0,-1297.287434980477,-1.2972874349804768,10,236.82763029296876,VALIDATION
BANKBARODA,VCP Volatility Contraction Breakout,2025-10-15,2025-10-16,2025-10-31,259.99,269.67755126953125,384,100000.0,3474.7673379687476,3.4747673379687476,10,245.25234953125002,VALIDATION
CEATLTD,True Connors RSI Mean Reversion,2025-10-15,2025-10-16,2025-10-31,3543.83,3991.953857421875,28,100000.0,12290.192325800788,12.290192325800788,10,257.2756820117188,VALIDATION
BSE,True Connors RSI Mean Reversion,2025-10-15,2025-10-16,2025-10-31,2462.31,2472.486083984375,40,100000.0,169.44799433594744,0.16944799433594743,10,237.59536503906247,VALIDATION
BSE,True NR7 Volatility Expansion Breakout,2025-10-15,2025-10-16,2025-10-31,2469.7933958555022,2472.486083984375,40,100000.0,-130.03750780125847,-0.13003750780125847,10,237.74503295617254,VALIDATION
ABCAPITAL,Donchian Channel Breakout,2025-10-30,2025-10-31,2025-11-17,326.95,334.79998779296875,305,100000.0,2151.2154074401915,2.1512154074401915,10,243.03086941528323,VALIDATION
ABCAPITAL,RS Momentum Breakout,2025-10-30,2025-10-31,2025-11-17,326.95,334.79998779296875,305,100000.0,2151.2154074401915,2.1512154074401915,10,243.03086941528323,VALIDATION
CANBK,RS Momentum Breakout,2025-10-30,2025-10-31,2025-11-17,127.19,144.3579559326172,786,100000.0,13233.82966299256,13.23382966299256,10,260.1837000445556,VALIDATION
CANBK,Donchian Channel Breakout,2025-10-30,2025-10-31,2025-11-17,127.19,144.3579559326172,786,100000.0,13233.82966299256,13.23382966299256,10,260.1837000445556,VALIDATION
BANKINDIA,RS Momentum Breakout,2025-10-30,2025-10-31,2025-11-17,134.41,142.68893432617188,743,100000.0,5902.288072039184,5.902288072039184,10,248.96013230651855,VALIDATION
APLAPOLLO,VCP Volatility Contraction Breakout,2025-10-30,2025-10-31,2025-11-17,1785.7,1777.699951171875,56,100000.0,-687.3291302734287,-0.6873291302734288,10,239.3263958984375,VALIDATION
APLAPOLLO,RS Momentum Breakout,2025-10-30,2025-10-31,2025-11-17,1785.7,1777.699951171875,56,100000.0,-687.3291302734287,-0.6873291302734288,10,239.3263958984375,VALIDATION
APLAPOLLO,True Connors RSI Mean Reversion,2025-10-30,2025-10-31,2025-11-17,1785.7,1777.699951171875,56,100000.0,-687.3291302734287,-0.6873291302734288,10,239.3263958984375,VALIDATION
AUBANK,True Connors RSI Mean Reversion,2025-10-30,2025-10-31,2025-11-17,877.4,911.8145141601562,113,100000.0,3644.714439947522,3.6447144399475215,10,244.12566015014647,VALIDATION
BANKBARODA,True Connors RSI Mean Reversion,2025-10-30,2025-10-31,2025-11-17,265.22,278.9283447265625,377,100000.0,4920.318012971184,4.920318012971184,10,247.7279489428711,VALIDATION
ADANIENSOL,RS Momentum Breakout,2025-11-14,2025-11-17,2025-12-01,1025.5,999.0999755859375,97,100000.0,-2795.908164611814,-2.795908164611814,10,235.1057964477539,VALIDATION
ASIANPAINT,RS Momentum Breakout,2025-11-14,2025-11-17,2025-12-01,2876.91,2842.934814453125,34,100000.0,-1389.0534541308734,-1.3890534541308734,10,233.8971455371094,VALIDATION
ASIANPAINT,Donchian Channel Breakout,2025-11-14,2025-11-17,2025-12-01,2876.91,2842.934814453125,34,100000.0,-1389.0534541308734,-1.3890534541308734,10,233.8971455371094,VALIDATION
CANBK,RS Momentum Breakout,2025-11-14,2025-11-17,2025-12-01,141.92,145.69387817382812,704,100000.0,2413.0016590234445,2.4130016590234447,10,243.8085753515625,VALIDATION
CANBK,Donchian Channel Breakout,2025-11-14,2025-11-17,2025-12-01,141.92,145.69387817382812,704,100000.0,2413.0016590234445,2.4130016590234447,10,243.8085753515625,VALIDATION
CCL,RS Momentum Breakout,2025-11-14,2025-11-17,2025-12-01,1062.63,981.5488891601562,94,100000.0,-7849.966422316909,-7.849966422316909,10,228.34200337158202,VALIDATION
BHARATFORG,VCP Volatility Contraction Breakout,2025-11-14,2025-11-17,2025-12-01,1396.16,1427.0338134765625,71,100000.0,1950.4979757006804,1.9504979757006804,10,241.54278113525393,VALIDATION
BHEL,True NR7 Volatility Expansion Breakout,2025-11-14,2025-11-17,2025-12-01,283.5852188178578,290.0643005371094,352,100000.0,2037.5718159810058,2.0375718159810057,10,243.06494919553674,VALIDATION
BHEL,True NR7 Volatility Expansion Breakout,2025-11-14,2025-11-17,2025-12-01,283.5852188178578,290.0643005371094,352,100000.0,2037.5718159810058,2.0375718159810057,10,243.06494919553674,VALIDATION
AUBANK,True NR7 Volatility Expansion Breakout,2025-11-14,2025-11-17,2025-12-01,894.1316744369963,949.5778198242188,111,100000.0,5906.793123049705,5.906793123049705,10,247.72901493198572,VALIDATION
CANBK,RS Momentum Breakout,2025-11-28,2025-12-01,2025-12-15,147.15,143.55445861816406,679,100000.0,-2677.5402393692057,-2.677540239369206,10,236.1676411026001,VALIDATION
ABCAPITAL,Donchian Channel Breakout,2025-11-28,2025-12-01,2025-12-15,358.0,351.79998779296875,279,100000.0,-1966.9727006530884,-1.9669727006530886,10,237.16929489135742,VALIDATION
