horizon,target,n,annual_fold_wins,evidence,brier,baseline_brier,improvement_pct,roc_auc,pr_auc,mae,baseline_mae,rmse,spearman
5,adverse_first,19105,3,WELL_CALIBRATED,0.23988240072781333,0.24928039585642264,3.770049825346975,0.6021141672052016,0.6089878592464935,,,,
5,forward_volatility,19105,3,WELL_CALIBRATED,,,8.606306428696127,,,19.500097304544763,21.336370752245728,30.85590309779343,0.4870132721487657
5,mae,19105,3,CALIBRATED_LOW_STRENGTH,,,4.349741137519417,,,3.1489154838711952,3.29211391722263,4.658129562789307,0.2956683423146478
5,mfe,19105,0,ORDINAL_ONLY,,,-5.627176648576661,,,4.608000401249454,4.3625140304377785,6.77191383281047,0.31245703661917323
5,success_5_before_3,19105,3,CALIBRATED_LOW_STRENGTH,0.2172859506856698,0.2216023256373047,1.9478021899009674,0.5893430204602886,0.4019960290769337,,,,
10,adverse_first,18481,3,CALIBRATED_LOW_STRENGTH,0.2390051460739888,0.24403375202773125,2.0606190381283938,0.5759958561752161,0.6341371509904736,,,,
10,forward_volatility,18481,3,WELL_CALIBRATED,,,14.167068078162856,,,16.040285351735825,18.68779848548427,25.116921126633482,0.5555889294989081
10,mae,18481,2,CALIBRATED_LOW_STRENGTH,,,4.343595266741334,,,4.191143721477479,4.3814564567470775,5.917879620707602,0.27087441761222936
10,mfe,18481,0,ORDINAL_ONLY,,,-6.338795483211353,,,6.3051873613090885,5.9293387071556065,9.013882924276464,0.2998576314485942
10,success_5_before_3,18481,3,CALIBRATED_LOW_STRENGTH,0.23283701806353474,0.23301590668709637,0.07677099220606177,0.5441132662984007,0.3950537662366318,,,,
20,adverse_first,17494,3,CALIBRATED_LOW_STRENGTH,0.23752137868389323,0.2410284646548663,1.4550505377009901,0.564523544974836,0.6428182819721893,,,,
20,forward_volatility,17494,3,WELL_CALIBRATED,,,19.27699507359163,,,13.237916542338414,16.39918701540762,19.986759997443517,0.6076668449907126
20,mae,17494,2,CALIBRATED_LOW_STRENGTH,,,4.759618514467975,,,5.297335072541984,5.562068305392816,7.260054792034419,0.29139856638045714
20,mfe,17494,0,ORDINAL_ONLY,,,-6.003338543336682,,,8.897560102668283,8.393660261021637,12.637692086688764,0.28087462260272394
20,success_5_before_3,17494,1,ORDINAL_ONLY,0.23750359360534556,0.23691674118088257,-0.2477040759289095,0.5356719818308022,0.3981366108701364,,,,
