primary_strategy,state,n,success_rate,realized_reward_adversity
Donchian Channel Breakout,FAVORABLE,3076,0.4392067620286086,1.3896017642052079
Donchian Channel Breakout,MIXED,3600,0.3863888888888889,1.0931573026706276
Donchian Channel Breakout,UNFAVORABLE,3511,0.33209911706066647,0.9226091763405203
EMA Pullback / Bounce,FAVORABLE,137,0.4233576642335766,1.5714285714285627
EMA Pullback / Bounce,MIXED,117,0.26495726495726496,1.029434043934637
EMA Pullback / Bounce,UNFAVORABLE,305,0.25245901639344265,1.2788104089219334
RS Momentum Breakout,FAVORABLE,1182,0.45854483925549916,1.579421806000845
RS Momentum Breakout,MIXED,1257,0.3627684964200477,0.9361702127659529
RS Momentum Breakout,UNFAVORABLE,1553,0.3457823567289118,0.9571183533447699
VCP Volatility Contraction Breakout,FAVORABLE,1068,0.40168539325842695,1.2868304154690318
VCP Volatility Contraction Breakout,MIXED,1093,0.302836230558097,0.8746650788925273
VCP Volatility Contraction Breakout,UNFAVORABLE,1582,0.29266750948166875,0.9821352583586631
