horizon,target,strategy,n,brier,baseline_brier,improvement_pct,roc_auc,pr_auc,mae,baseline_mae,rmse,spearman
5,adverse_first,Donchian Channel Breakout,10512,0.24129068538250134,0.24876111001068,3.0030516537966587,0.5909928015344231,0.6126910395809158,,,,
5,adverse_first,EMA Pullback / Bounce,572,0.2285670311346357,0.2496301775147929,8.437740416584461,0.6778206305479032,0.6432643728543972,,,,
5,adverse_first,RS Momentum Breakout,4096,0.24174193556863147,0.24796003103256226,2.5077007121015504,0.5863153079544884,0.6143462557621854,,,,
5,adverse_first,VCP Volatility Contraction Breakout,3925,0.2358191773925841,0.24993559170757434,5.64802084350856,0.6349091292520752,0.5998811337765068,,,,
5,forward_volatility,Donchian Channel Breakout,10512,,,6.984826286416279,,,20.834076476834063,22.39857825884112,32.502718741440454,0.48141767182183576
5,forward_volatility,EMA Pullback / Bounce,572,,,13.4644232415775,,,14.646760557873653,16.925709756072187,19.991730538712144,0.5479728640987019
5,forward_volatility,RS Momentum Breakout,4096,,,5.19781597018336,,,20.565313819287127,21.69286924109158,32.5247111363048,0.39711607402696164
5,forward_volatility,VCP Volatility Contraction Breakout,3925,,,8.601480257987692,,,15.52307634036794,16.98394720634911,25.352884260098097,0.45064285059718745
5,mae,Donchian Channel Breakout,10512,,,3.976822368185276,,,3.2894117301078674,3.4256434865346597,4.869597998226567,0.29208861830781757
5,mae,EMA Pullback / Bounce,572,,,7.382160375362911,,,2.600817987795429,2.808117743121694,3.5523501450555925,0.37586495918267565
5,mae,RS Momentum Breakout,4096,,,2.563832491277936,,,3.2963384533199527,3.383074824884588,4.815211825113953,0.25856513742629733
5,mae,VCP Volatility Contraction Breakout,3925,,,4.979721907668879,,,2.69866599201217,2.8400948157506742,4.0090198917646624,0.3065172991920269
5,mfe,Donchian Channel Breakout,10512,,,-5.269338054166418,,,4.863101564765158,4.619675258395607,7.098293943959416,0.32406408779737017
5,mfe,EMA Pullback / Bounce,572,,,-14.478873201310256,,,3.5785512788836478,3.1259490758533164,5.307783086275837,0.24533502849993563
5,mfe,RS Momentum Breakout,4096,,,-7.152833922698942,,,4.8043963576899165,4.483685761550509,6.972994361466993,0.2216432439398521
5,mfe,VCP Volatility Contraction Breakout,3925,,,-8.63223101236102,,,3.8698561030420726,3.5623461536030963,5.781682696885382,0.23543960367337524
5,success_5_before_3,Donchian Channel Breakout,10512,0.22217023502183164,0.22665895061728394,1.980383118878701,0.5914299118033401,0.42131340425940395,,,,
5,success_5_before_3,EMA Pullback / Bounce,572,0.18364885705522754,0.18305296102498902,-0.3255320355933337,0.5965237427369265,0.31044834736316285,,,,
5,success_5_before_3,RS Momentum Breakout,4096,0.22542376519561308,0.22752928733825684,0.9253851085612457,0.5597371236483931,0.3982811122173658,,,,
5,success_5_before_3,VCP Volatility Contraction Breakout,3925,0.20061444301233278,0.20293587569475433,1.1439242442836117,0.5817316273205146,0.34255070513839264,,,,
10,adverse_first,Donchian Channel Breakout,10187,0.2399928767186037,0.24405434416463181,1.6641651923591128,0.5680655917234012,0.6324995307703885,,,,
10,adverse_first,EMA Pullback / Bounce,559,0.23208715264607532,0.2464085816417638,5.812065838075963,0.6533416452375387,0.6853757254226722,,,,
10,adverse_first,RS Momentum Breakout,3992,0.2390916755633985,0.24186750254015044,1.1476642986757373,0.5637946189513534,0.6346263125617219,,,,
10,adverse_first,VCP Volatility Contraction Breakout,3743,0.23725780985378808,0.24559228879213765,3.3936240341013466,0.6047971959683325,0.6456748114770674,,,,
10,forward_volatility,Donchian Channel Breakout,10187,,,12.747031498899439,,,16.977489888967455,19.457779122727853,26.80253607628541,0.5511825326625178
10,forward_volatility,EMA Pullback / Bounce,559,,,15.613793545976792,,,12.949235642378843,15.345204135268334,19.789331713085744,0.5942361964117402
10,forward_volatility,RS Momentum Breakout,3992,,,10.302792103550814,,,16.705368168358184,18.62417856712293,25.055460710377716,0.4659626608930499
10,forward_volatility,VCP Volatility Contraction Breakout,3743,,,13.073085192530746,,,13.241883952536131,15.233353193156596,20.777219946660363,0.5234017068340896
10,mae,Donchian Channel Breakout,10187,,,4.323058486362278,,,4.387430679077483,4.585671959896525,6.177600446940895,0.2758573843020257
10,mae,EMA Pullback / Bounce,559,,,1.1487774756585516,,,3.7618833144815684,3.805601203925657,4.981487039164887,0.19619540743545813
10,mae,RS Momentum Breakout,3992,,,3.271497523118356,,,4.232618736304945,4.375772009203338,5.96867597391575,0.2567418242716292
10,mae,VCP Volatility Contraction Breakout,3743,,,3.861065708866341,,,3.6768004330051958,3.8244655613415572,5.229891304723631,0.23824739608722406
10,mfe,Donchian Channel Breakout,10187,,,-6.524182725359491,,,6.5933529905773804,6.189536330521638,9.439568808832014,0.2993898154111753
10,mfe,EMA Pullback / Bounce,559,,,-11.077289647347648,,,4.999232866685191,4.500679556151346,6.920082029901838,0.26068064136093433
10,mfe,RS Momentum Breakout,3992,,,-5.954652655311037,,,6.610634311141636,6.239116589478314,9.17082406666851,0.21778866366198282
10,mfe,VCP Volatility Contraction Breakout,3743,,,-10.74274074150355,,,5.390183640605681,4.867302005092581,7.861905187585569,0.2515726329959609
10,success_5_before_3,Donchian Channel Breakout,10187,0.23581301221680356,0.23645713640251725,0.27240632087212957,0.5464741450233863,0.41327567513185276,,,,
10,success_5_before_3,EMA Pullback / Bounce,559,0.21597117024391413,0.2087742934770434,-3.4472044651714198,0.5570986235016402,0.32543096104780717,,,,
10,success_5_before_3,RS Momentum Breakout,3992,0.23652694087962997,0.23666414743314276,0.05797521720164758,0.5360118467610324,0.41457098717841806,,,,
10,success_5_before_3,VCP Volatility Contraction Breakout,3743,0.22332095731279092,0.21998209999122775,-1.517785911533852,0.5404989032953056,0.34309103614181014,,,,
20,adverse_first,Donchian Channel Breakout,9664,0.23869509823819884,0.2417645877476591,1.269619152273876,0.5599588468891247,0.6393947646687768,,,,
20,adverse_first,EMA Pullback / Bounce,546,0.23162593320312067,0.24227146479893735,4.3940509480352885,0.63957078573901,0.698615084104159,,,,
20,adverse_first,RS Momentum Breakout,3822,0.23827161586770493,0.23985294314964645,0.6592903389786277,0.5535020732392308,0.6357108490981532,,,,
20,adverse_first,VCP Volatility Contraction Breakout,3462,0.2343465320470255,0.23995373054181393,2.336783213216741,0.5890220003671829,0.6682798487854253,,,,
20,forward_volatility,Donchian Channel Breakout,9664,,,18.207311500980573,,,13.70264137062272,16.75289273660077,20.571691784370646,0.6032414174779449
20,forward_volatility,EMA Pullback / Bounce,546,,,17.65884267510281,,,11.734482505208364,14.251053648550373,20.617598734304273,0.6414807103903593
20,forward_volatility,RS Momentum Breakout,3822,,,14.761712302312638,,,13.646033095344677,16.009276422518884,20.351578916251377,0.514890745267351
20,forward_volatility,VCP Volatility Contraction Breakout,3462,,,17.6781250657425,,,11.727215438393744,14.24556407122546,17.6906805478832,0.5890141399743866
20,mae,Donchian Channel Breakout,9664,,,5.20593726529153,,,5.476271574947776,5.777019590640101,7.443162612192822,0.29940079336024966
20,mae,EMA Pullback / Bounce,546,,,0.3898046959855594,,,4.9491764139389,4.968544031897346,7.320921709570596,0.22744512921925855
20,mae,RS Momentum Breakout,3822,,,4.0197869634026615,,,5.395561130811433,5.62153485610008,7.433102129638652,0.2803291622014968
20,mae,VCP Volatility Contraction Breakout,3462,,,2.7699705428032364,,,4.7443114658527525,4.879471385886316,6.499697641072532,0.24926893860354735
20,mfe,Donchian Channel Breakout,9664,,,-5.915623433675197,,,9.286277142245071,8.76761788411714,13.254154158003436,0.2751464326139908
20,mfe,EMA Pullback / Bounce,546,,,-10.618815354784951,,,7.117163160529921,6.433953516590484,9.364686259960033,0.2758724296323024
20,mfe,RS Momentum Breakout,3822,,,-7.755780559249974,,,9.200550501844852,8.538335905595236,12.740615964239852,0.17710671874253286
20,mfe,VCP Volatility Contraction Breakout,3462,,,-7.215779124460339,,,7.758769217135239,7.236592673666579,11.118894098799633,0.2884315096246334
20,success_5_before_3,Donchian Channel Breakout,9664,0.23897395408380587,0.23937803577693953,0.16880483283361847,0.5460893457423549,0.4193031557004233,,,,
20,success_5_before_3,EMA Pullback / Bounce,546,0.2320379842367379,0.2240235344630949,-3.5775034943765243,0.5121659055177061,0.3265370418988657,,,,
20,success_5_before_3,RS Momentum Breakout,3822,0.2380654020376243,0.23871580190261515,0.27245781796053253,0.5417441788771997,0.43303724842858987,,,,
20,success_5_before_3,VCP Volatility Contraction Breakout,3462,0.2336409209373069,0.22821348962958735,-2.378225457456,0.5143504774718124,0.3440984907523055,,,,
