publication_date,title,url,document_type,effective_date,contains_nifty500,source,status,filename
2026-08-03,Meeting of the Index Maintenance Sub-Committee (Equity),https://www.niftyindices.com/Press_Release/ind_prs03082026.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs03082026.pdf
2026-07-17,"Replacements in indices w.e.f. July 31, 2026",https://www.niftyindices.com/Press_Release/ind_prs17072026_1.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs17072026_1.pdf
2026-07-13,"Replacement in indices w.e.f. July 17, 2026",https://www.niftyindices.com/Press_Release/ind_prs13072026_1.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs13072026_1.pdf
2026-07-13,Revision in criteria in Nifty equity indices,https://www.niftyindices.com/Press_Release/ind_prs13072026.pdf,PDF,,False,NSE Indices,DISCOVERED,ind_prs13072026.pdf
2026-07-10,NSE Indices launches Nifty500 Ahimsa Index,https://www.niftyindices.com/Press_Release/ind_prs10072026_1.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs10072026_1.pdf
2026-06-24,Replacement in Nifty Smallcap 500 w.e.f. July 01 2026,https://www.niftyindices.com/Press_Release/ind_prs24062026_1.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs24062026_1.pdf
2026-06-24,"Replacements in Nifty IPO w.e.f. June 30, 2026",https://www.niftyindices.com/Press_Release/ind_prs24062026.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs24062026.pdf
2026-06-17,"Replacement in Indices w.e.f. June 30, 2026",https://www.niftyindices.com/Press_Release/ind_prs17062026_2.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs17062026_2.pdf
2026-06-10,Revision in criteria and replacements in indices,https://www.niftyindices.com/Press_Release/ind_prs10062026.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs10062026.pdf
2026-05-21,"Replacements in indices w.e.f. May 29, 2026",https://www.niftyindices.com/Press_Release/ind_prs21052026_1.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs21052026_1.pdf
2026-05-20,"Replacement in indices w.e.f. May 29, 2026",https://www.niftyindices.com/Press_Release/ind_prs20052026_1.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs20052026_1.pdf
2026-05-08,"Replacement in indices w.e.f. May 15, 2026",https://www.niftyindices.com/Press_Release/ind_prs08052026.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs08052026.pdf
2026-05-04,"Replacement in indices w.e.f. May 12, 2026",https://www.niftyindices.com/Press_Release/ind_prs04052026.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs04052026.pdf
2026-04-23,"Corporate Adjustment for Vedanta Ltd. and Replacement in Nifty Indices w.e.f. April 30, 2026",https://www.niftyindices.com/Press_Release/ind_prs23042026.pdf,PDF,,True,NSE Indices,DISCOVERED,ind_prs23042026.pdf
