symbol,event_id,event_date,event_type,previous_event,next_event,current_membership,first_event,last_event,anomaly_reason
360ONE,PEVT_00383,"December 31, 2024",ADDITION,NONE,NONE,True,ADDITION,ADDITION,Normal transition
AADHARHFC,PEVT_01054,"September 30, 2024",ADDITION,NONE,NONE,True,ADDITION,ADDITION,Normal transition
AARTIDRUGS,PEVT_01000,"August 30, 2022",DELETION,NONE,DELETION,False,DELETION,DELETION,Normal transition
AARTIDRUGS,PEVT_01234,"March 28, 2024",DELETION,DELETION,NONE,False,DELETION,DELETION,Consecutive DELETION
AARTIIND,PEVT_00049,"May 04, 2022",DELETION,NONE,ADDITION,True,DELETION,ADDITION,Normal transition
AARTIIND,PEVT_00581,"March 31, 2023",ADDITION,DELETION,NONE,True,DELETION,ADDITION,Normal transition
ABB,PEVT_00127,"June 28, 2024",ADDITION,NONE,DELETION,True,ADDITION,ADDITION,Normal transition
ABB,PEVT_00776,"June 28, 2024",DELETION,ADDITION,DELETION,True,ADDITION,ADDITION,Normal transition
ABB,PEVT_00344,"December 31, 2024",DELETION,DELETION,ADDITION,True,ADDITION,ADDITION,Consecutive DELETION
ABB,PEVT_00078,"June 30,
2025",ADDITION,DELETION,NONE,True,ADDITION,ADDITION,Normal transition
ABBOTINDIA,PEVT_00781,"May 31, 2024",DELETION,NONE,NONE,True,DELETION,DELETION,Normal transition
ABCAPITAL,PEVT_00172,,DELETION,NONE,NONE,True,DELETION,DELETION,Normal transition
ABDL,PEVT_00969,"March 30, 2026",ADDITION,NONE,NONE,True,ADDITION,ADDITION,Normal transition
ABFRL,PEVT_00807,"May 31, 2024",ADDITION,NONE,DELETION,True,ADDITION,ADDITION,Normal transition
ABFRL,PEVT_00282,"October 31, 2024",DELETION,ADDITION,ADDITION,True,ADDITION,ADDITION,Normal transition
ABFRL,PEVT_00658,"October 31, 2025",ADDITION,DELETION,NONE,True,ADDITION,ADDITION,Normal transition
ABIRLANUVO,PEVT_01228,"May 26, 2017",DELETION,NONE,NONE,False,DELETION,DELETION,Normal transition
ABLBL,PEVT_00853,"September 30, 2025",ADDITION,NONE,ADDITION,True,ADDITION,ADDITION,Normal transition
