symbol,evidence_document,evidence_page,evidence_type,evidence_text_summary,supports_membership,supports_missing_event,supports_identity_change,supports_corporate_action
ABBOTINDIA,ind_prs22052024.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for ABBOTINDIA: first=DELETION, last=DELETION",True,False,False,False
ABCAPITAL,ind_prs07122023.pdf,Page 9,PROVEN_INITIAL_CONSTITUENT,"Conflict for ABCAPITAL: first=DELETION, last=DELETION",True,False,False,False
ABREL,ind_prs22082025_1.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for ABREL: first=DELETION, last=DELETION",True,False,False,False
ABSLAMC,ind_prs24022022_1.pdf,Page 4,PROVEN_MISSING_EVENT,"Conflict for ABSLAMC: first=ADDITION, last=DELETION",True,True,False,False
ADANIENT,ind_prs22052024.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for ADANIENT: first=DELETION, last=DELETION",True,False,False,False
ADANIGAS,ind_prs11122020.pdf,Page 5,CORPORATE_ACTION,"Conflict for ADANIGAS: first=ADDITION, last=ADDITION",False,False,False,True
ADANIGREEN,ind_prs08122021.pdf,Page 7,PROVEN_INITIAL_CONSTITUENT,"Conflict for ADANIGREEN: first=DELETION, last=DELETION",True,False,False,False
ADANIPORTS,ind_prs07062024.pdf,Page 8,PROVEN_MISSING_EVENT,"Conflict for ADANIPORTS: first=ADDITION, last=DELETION",True,True,False,False
ADANIPOWER,ind_prs17022023_1.pdf,Page 2,PROVEN_MISSING_EVENT,"Conflict for ADANIPOWER: first=ADDITION, last=DELETION",True,True,False,False
AEGISCHEM,ind_prs23082023.pdf,Page 1,CORPORATE_ACTION,"Conflict for AEGISCHEM: first=ADDITION, last=ADDITION",False,False,False,True
AEGISLOG,ind_prs22082025_1.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for AEGISLOG: first=DELETION, last=DELETION",True,False,False,False
AFFLE,ind_prs18122019.pdf,Page 1,PROVEN_MISSING_EVENT,"Conflict for AFFLE: first=ADDITION, last=DELETION",True,True,False,False
AIAENG,ind_prs22052024.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for AIAENG: first=DELETION, last=DELETION",True,False,False,False
AKZOINDIA,ind_prs15092025.pdf,Page 6,CORPORATE_ACTION,"Conflict for AKZOINDIA: first=ADDITION, last=ADDITION",False,False,False,True
ALLCARGO,ind_prs26102020.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for ALLCARGO: first=DELETION, last=ADDITION",False,False,False,False
ANGELBRKG,ind_prs23022021.pdf,Page 2,CORPORATE_ACTION,"Conflict for ANGELBRKG: first=ADDITION, last=ADDITION",False,False,False,True
APOLLOHOSP,ind_prs15092025.pdf,Page 5,PROVEN_INITIAL_CONSTITUENT,"Conflict for APOLLOHOSP: first=DELETION, last=DELETION",True,False,False,False
ASHOKLEY,ind_prs11122020.pdf,Page 4,PROVEN_INITIAL_CONSTITUENT,"Conflict for ASHOKLEY: first=DELETION, last=DELETION",True,False,False,False
ATGL,ind_prs24072023.pdf,Page 1,PROVEN_INITIAL_CONSTITUENT,"Conflict for ATGL: first=DELETION, last=DELETION",True,False,False,False
AWL,ind_prs01092022.pdf,Page 3,PROVEN_MISSING_EVENT,"Conflict for AWL: first=ADDITION, last=DELETION",True,True,False,False
AXISBANK,ind_prs07122023.pdf,Page 10,PROVEN_INITIAL_CONSTITUENT,"Conflict for AXISBANK: first=DELETION, last=DELETION",True,False,False,False
