effective_date,event_type,symbol,old_symbol,new_symbol,isin,company_name,reason,source,source_reference
2018-01-15,SYMBOL_CHANGE,TIRUPATIFL,FORGE,TIRUPATIFL,,Tirupati Forge Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-01-19,SYMBOL_CHANGE,AMJLAND,PDUMJEPULP,AMJLAND,,Amj Land Holdings Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-01-24,SYMBOL_CHANGE,PAISALO,SEINV,PAISALO,,Paisalo Digital Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICIGOLD,GOLDIWIN,ICICIGOLD,,ICICI Prudential Gold ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICILOVOL,LOWVOLIWIN,ICICILOVOL,,ICICI Prudential Nifty Low Vol 30 ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICIMCAP,MIDCAPIWIN,ICICIMCAP,,ICICI Prudential Midcap Select ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICINF100,NIF100IWIN,ICICINF100,,ICICI Prudential Nifty 100 ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICINIFTY,NIFTYIWIN,ICICINIFTY,,ICICI Prudential Nifty ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICINV20,NV20IWIN,ICICINV20,,ICICI Prudential NV20 ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-10,SYMBOL_CHANGE,ICICISENSX,SENSEXIWIN,ICICISENSX,,ICICI Prudential Sensex ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-12,SYMBOL_CHANGE,HAVISHA,SHAKTIGAS,HAVISHA,,Sri Havisha Hospitality and Infrastructure Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-19,SYMBOL_CHANGE,ADROITINFO,SPHEREGSL,ADROITINFO,,Adroit Infotech Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-19,SYMBOL_CHANGE,ICICIB22,BHARATIWIN,ICICIB22,,ICICI Prudential Mutual Fund - BHARAT 22 ETF,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-04-23,SYMBOL_CHANGE,JTEKTINDIA,SONASTEER,JTEKTINDIA,,Jtekt India Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-05-04,SYMBOL_CHANGE,3PLAND,PDUMJEIND,3PLAND,,3P Land Holdings Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-05-04,SYMBOL_CHANGE,PRSMJOHNSN,PRISMCEM,PRSMJOHNSN,,Prism Johnson Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-06-06,SYMBOL_CHANGE,PITTIENG,PITTILAM,PITTIENG,,Pitti Engineering Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-06-08,SYMBOL_CHANGE,IBULISL,SORILHOLD,IBULISL,,Yaari Digital Integrated Services Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-07-18,SYMBOL_CHANGE,PROSEED,GREENFIRE,PROSEED,,Proseed India Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-07-25,SYMBOL_CHANGE,THEINVEST,FORTUNEFIN,THEINVEST,,The Investment Trust Of India Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-07-26,SYMBOL_CHANGE,OLECTRA,GOLDINFRA,OLECTRA,,Olectra Greentech Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-08-13,SYMBOL_CHANGE,GARFIBRES,GARWALLROP,GARFIBRES,,Garware Technical Fibres Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-10-08,SYMBOL_CHANGE,BCG,LYCOS,BCG,,Brightcom Group Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-10-12,SYMBOL_CHANGE,INSPIRISYS,AFL,INSPIRISYS,,Inspirisys Solutions Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-10-23,SYMBOL_CHANGE,KSB,KSBPUMPS,KSB,,Ksb Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-11-15,SYMBOL_CHANGE,EMAMIREAL,EMAMIINFRA,EMAMIREAL,,Emami Realty Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2018-12-10,SYMBOL_CHANGE,TATASTLBSL,BHUSANSTL,TATASTLBSL,,Tata Steel Bsl Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-01-02,SYMBOL_CHANGE,DVL,DPL,DVL,,Dhunseri Ventures Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-01-15,SYMBOL_CHANGE,BAJAJCON,BAJAJCORP,BAJAJCON,,Bajaj Consumer Care Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-01-16,SYMBOL_CHANGE,IDFCFIRSTB,IDFCBANK,IDFCFIRSTB,,IDFC First Bank Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-02-26,SYMBOL_CHANGE,BSOFT,KPIT,BSOFT,,BIRLASOFT LIMITED,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-04-08,SYMBOL_CHANGE,RGL,RJL,RGL,,Renaissance Global Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-04-09,SYMBOL_CHANGE,CHOLAHLDNG,TIFIN,CHOLAHLDNG,,Cholamandalam Financial Holdings Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-05-02,SYMBOL_CHANGE,EXPLEOSOL,SQSBFSI,EXPLEOSOL,,Expleo Solutions Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-05-03,SYMBOL_CHANGE,KEYFINSERV,KEYCORPSER,KEYFINSERV,,Keynote Financial Services Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-05-27,SYMBOL_CHANGE,BABAFOOD,SKML,BABAFOOD,,Baba Agro Food Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-06-11,SYMBOL_CHANGE,PGHL,MERCK,PGHL,,Procter & Gamble Health Limited,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
2019-07-19,SYMBOL_CHANGE,ICICIBANKN,IPRU5008,ICICIBANKN,,ICICI Prudential Bank ETF Nifty Bank Index,Official NSE Symbol Rename,NSE India,https://archives.nseindia.com/content/equities/symbolchange.csv
