index_name,symbol,yahoo_symbol,company_name,isin,sector,industry,valid_from,valid_to
Nifty 500,360ONE,360ONE.NS,360 ONE WAM Ltd.,INE466L01038,,Financial Services,,
Nifty 500,3MINDIA,3MINDIA.NS,3M India Ltd.,INE470A01017,,Diversified,,
Nifty 500,ABB,ABB.NS,ABB India Ltd.,INE117A01022,,Capital Goods,,
Nifty 500,ACC,ACC.NS,ACC Ltd.,INE012A01025,,Construction Materials,,
Nifty 500,ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,INE622W01025,,Power,,
Nifty 500,AIAENG,AIAENG.NS,AIA Engineering Ltd.,INE212H01026,,Capital Goods,,
Nifty 500,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,INE702C01027,,Capital Goods,,
Nifty 500,AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,INE949L01017,,Financial Services,,
Nifty 500,AWL,AWL.NS,AWL Agri Business Ltd.,INE699H01024,,Fast Moving Consumer Goods,,
Nifty 500,AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,INE883F01010,,Financial Services,,
Nifty 500,AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,INE769A01020,,Chemicals,,
Nifty 500,AAVAS,AAVAS.NS,Aavas Financiers Ltd.,INE216P01012,,Financial Services,,
Nifty 500,ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,INE358A01014,,Healthcare,,
Nifty 500,ACE,ACE.NS,Action Construction Equipment Ltd.,INE731H01025,,Capital Goods,,
Nifty 500,ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Ltd.,INE00FF01025,,Healthcare,,
Nifty 500,ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,INE931S01010,,Power,,
Nifty 500,ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,INE423A01024,,Metals & Mining,,
Nifty 500,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,INE364U01010,,Power,,
Nifty 500,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,,Services,,
Nifty 500,ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,INE814H01029,,Power,,
Nifty 500,ATGL,ATGL.NS,Adani Total Gas Ltd.,INE399L01023,,Oil Gas & Consumable Fuels,,
Nifty 500,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,INE674K01013,,Financial Services,,
Nifty 500,ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,INE647O01011,,Consumer Services,,
Nifty 500,ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,INE14LE01019,,Consumer Services,,
Nifty 500,ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,INE055A01016,,Realty,,
Nifty 500,ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,INE404A01024,,Financial Services,,
