symbol,expected_current_membership,actual_current_membership,last_event_date,last_event_type,conflict_reason,symbol_change_note
ABBOTINDIA,False,True,"May 31, 2024",DELETION,"Last event was DELETION on May 31, 2024, but currently_present=True",
ABCAPITAL,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
ABREL,False,True,"August 29, 2025",DELETION,"Last event was DELETION on August 29, 2025, but currently_present=True",
ABSLAMC,False,True,"June 30,
2025",DELETION,"Last event was DELETION on June 30,
2025, but currently_present=True",
ADANIENT,False,True,"May 31, 2024",DELETION,"Last event was DELETION on May 31, 2024, but currently_present=True",
ADANIGAS,True,False,"January 1, 2021",ADDITION,"Last event was ADDITION on January 1, 2021, but currently_present=False",
ADANIGREEN,False,True,"December 31, 2021",DELETION,"Last event was DELETION on December 31, 2021, but currently_present=True",
ADANIPORTS,False,True,"December 31, 2024",DELETION,"Last event was DELETION on December 31, 2024, but currently_present=True",
ADANIPOWER,False,True,"December 31, 2024",DELETION,"Last event was DELETION on December 31, 2024, but currently_present=True",
AEGISCHEM,True,False,"August 31, 2023",ADDITION,"Last event was ADDITION on August 31, 2023, but currently_present=False",
AEGISLOG,False,True,"August 29, 2025",DELETION,"Last event was DELETION on August 29, 2025, but currently_present=True",
AFFLE,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
AIAENG,False,True,"May 31, 2024",DELETION,"Last event was DELETION on May 31, 2024, but currently_present=True",
AKZOINDIA,True,False,"September 30, 2025",ADDITION,"Last event was ADDITION on September 30, 2025, but currently_present=False",
ALLCARGO,True,False,,ADDITION,"Last event was ADDITION on , but currently_present=False",
ANGELBRKG,True,False,,ADDITION,"Last event was ADDITION on , but currently_present=False",
APOLLOHOSP,False,True,"September 30, 2025",DELETION,"Last event was DELETION on September 30, 2025, but currently_present=True",
ASHOKLEY,False,True,"January 1, 2021",DELETION,"Last event was DELETION on January 1, 2021, but currently_present=True",
ATGL,False,True,"July 31, 2026",DELETION,"Last event was DELETION on July 31, 2026, but currently_present=True",
AWL,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
AXISBANK,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
BAJAJ-AUTO,False,True,"December 31, 2024",DELETION,"Last event was DELETION on December 31, 2024, but currently_present=True",
BALAMINES,True,False,,ADDITION,"Last event was ADDITION on , but currently_present=False",
BALKRISIND,False,True,"July 31, 2023",DELETION,"Last event was DELETION on July 31, 2023, but currently_present=True",
BALRAMCHIN,False,True,"December 31, 2021",DELETION,"Last event was DELETION on December 31, 2021, but currently_present=True",
BANKBARODA,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
BANKINDIA,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
BATAINDIA,False,True,,DELETION,"Last event was DELETION on , but currently_present=True",
BCG,True,False,,ADDITION,"Last event was ADDITION on , but currently_present=False",
