event,symbol,event_type,status,reason,source
PEVT_00001,TECHNO,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01082018.pdf
PEVT_00002,BDL,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01082018.pdf
PEVT_00003,ADVENZYMES,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00004,ERIS,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00005,GLS,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00006,HATHWAY,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00007,HEMIPROP,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00008,ICIL,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00009,IRCON,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00010,MINDTREE,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00011,NESCO,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00012,RAILTEL,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00013,SEQUENT,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00014,SOLARA,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
PEVT_00015,SPICEJET,DELETION,CONSUMED_IN_ENGINE,Valid parent broad-market Nifty 500 reconstitution event,ind_prs01092022.pdf
