source_document,source_page,keyword,event_date,symbol,company_name,override_type,override_text,notes
ind_prs01082018.pdf,Page 2,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs03062009.pdf,Page 1,modification,,,,NOTICE_WITH_MODIFICATION,PDF contained keyword 'modification',Flagged for manual verification during membership reconstruction
ind_prs07092020.pdf,Page 2,revoke,,,,NOTICE_WITH_REVOKE,PDF contained keyword 'revoke',Flagged for manual verification during membership reconstruction
ind_prs10062026.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs11122024.pdf,Page 25,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs12032026.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs12102021.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs13032019.pdf,Page 3,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs13052020.pdf,Page 2,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs13072026.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs15062018.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs15092021.pdf,Page 5,revoke,,,,NOTICE_WITH_REVOKE,PDF contained keyword 'revoke',Flagged for manual verification during membership reconstruction
ind_prs15092025_1.pdf,Page 4,revision,,,,NOTICE_WITH_REVISION,PDF contained keyword 'revision',Flagged for manual verification during membership reconstruction
ind_prs16122019.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs17032025.pdf,Page 2,revoke,,,,NOTICE_WITH_REVOKE,PDF contained keyword 'revoke',Flagged for manual verification during membership reconstruction
ind_prs17082023.pdf,Page 26,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs17092019.pdf,Page 3,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs17102023.pdf,Page 1,withdraw,,,,NOTICE_WITH_WITHDRAW,PDF contained keyword 'withdraw',Flagged for manual verification during membership reconstruction
ind_prs18022020.pdf,Page 1,revised,,,,NOTICE_WITH_REVISED,PDF contained keyword 'revised',Flagged for manual verification during membership reconstruction
ind_prs18112022.pdf,Page 1,revision,,,,NOTICE_WITH_REVISION,PDF contained keyword 'revision',Flagged for manual verification during membership reconstruction
ind_prs19032024.pdf,Page 1,revoke,,,,NOTICE_WITH_REVOKE,PDF contained keyword 'revoke',Flagged for manual verification during membership reconstruction
ind_prs19042023_1.pdf,Page 1,withdraw,,,,NOTICE_WITH_WITHDRAW,PDF contained keyword 'withdraw',Flagged for manual verification during membership reconstruction
