review_period,total_rows,additions,deletions,replacements,corporate
2017-MAR,6,3,3,0,0
2017-MAY,6,3,3,0,0
2017-SEP,2,0,2,0,0
2018-MAR,2,0,2,0,0
2018-SEP,4,0,4,0,0
2019-DEC,10,3,7,0,0
2019-SEP,2,0,2,0,0
2020-JAN,2,0,2,0,0
2020-JUL,2,0,2,0,0
2020-MAR,4,0,4,0,0
2020-NOV,4,0,4,0,0
2020-SEP,2,0,2,0,0
2021-DEC,52,26,26,0,0
2021-JAN,36,15,21,0,0
2021-JUN,2,0,2,0,0
2021-MAR,52,24,28,0,0
2021-SEP,2,0,2,0,0
2022-DEC,8,3,5,0,0
2022-JUN,12,6,6,0,0
2022-MAR,68,32,36,0,0
2022-MAY,4,0,4,0,0
2022-SEP,93,57,36,0,0
2023-DEC,46,19,27,0,0
2023-JUL,9,2,7,0,0
2023-JUN,12,6,6,0,0
2023-MAR,62,29,33,0,0
2023-SEP,75,36,39,0,0
2024-DEC,78,39,39,0,0
2024-JAN,2,2,0,0,0
2024-JUL,8,1,7,0,0
2024-JUN,63,31,32,0,0
2024-MAR,72,36,36,0,0
2024-MAY,54,29,25,0,0
2024-NOV,2,2,0,0,0
2024-SEP,120,46,74,0,0
2025-DEC,2,0,2,0,0
2025-JUL,6,0,6,0,0
2025-JUN,12,6,6,0,0
2025-MAR,101,45,56,0,0
2025-NOV,2,0,2,0,0
2025-SEP,97,46,51,0,0
2026-JUL,10,5,5,0,0
2026-JUN,6,3,0,3,0
2026-MAR,88,40,48,0,0
2026-MAY,3,1,2,0,0
