review_period,ADDITION,DELETION,REPLACEMENT,TOTAL
2017-MAR,3,3,0,6
2017-MAY,3,3,0,6
2017-SEP,0,2,0,2
2018-MAR,0,2,0,2
2018-SEP,0,4,0,4
2019-DEC,3,7,0,10
2019-SEP,0,2,0,2
2020-JAN,0,2,0,2
2020-JUL,0,2,0,2
2020-MAR,0,4,0,4
2020-NOV,0,4,0,4
2020-SEP,0,2,0,2
2021-DEC,26,26,0,52
2021-JAN,15,21,0,36
2021-JUN,0,2,0,2
2021-MAR,24,28,0,52
2021-SEP,0,2,0,2
2022-DEC,3,5,0,8
2022-JUN,6,6,0,12
2022-MAR,32,36,0,68
2022-MAY,0,4,0,4
2022-SEP,57,36,0,93
2023-DEC,19,27,0,46
2023-JUL,2,7,0,9
2023-JUN,6,6,0,12
2023-MAR,29,33,0,62
2023-SEP,36,39,0,75
2024-DEC,39,39,0,78
2024-JAN,2,0,0,2
2024-JUL,1,7,0,8
2024-JUN,31,32,0,63
2024-MAR,36,36,0,72
2024-MAY,29,25,0,54
2024-NOV,2,0,0,2
2024-SEP,46,74,0,120
2025-DEC,0,2,0,2
2025-JUL,0,6,0,6
2025-JUN,6,6,0,12
2025-MAR,45,56,0,101
2025-NOV,0,2,0,2
2025-SEP,46,51,0,97
2026-JUL,5,5,0,10
2026-JUN,3,0,3,6
2026-MAR,40,48,0,88
2026-MAY,1,2,0,3
TOTAL,596,706,3,1305
