source_document,source_url,source_page,section_heading,section_start_page,section_end_page,announcement_date,effective_date,review_period,event_type,event_type_basis,company_name,symbol,old_symbol,new_symbol,isin,extraction_status,extraction_notes
ind_prs01082018.pdf,https://www.niftyindices.com/Press_Release/ind_prs01082018.pdf,Page 1,1) NIFTY 500 Index,1,1,"August 01, 2018",,2018-SEP,DELETION,The following companies are being excluded,Techno Electric & Engineering Company Ltd.,TECHNO,,,,PASS,Extracted from ind_prs01082018.pdf Page 1 table
ind_prs01082018.pdf,https://www.niftyindices.com/Press_Release/ind_prs01082018.pdf,Page 1,1) NIFTY 500 Index,1,1,"August 01, 2018",,2018-SEP,DELETION,The following companies are being excluded,Bharat Dynamics Ltd.,BDL,,,,PASS,Extracted from ind_prs01082018.pdf Page 1 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Advanced Enzyme Tech Ltd.,ADVENZYMES,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Eris Lifesciences Ltd.,ERIS,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Glenmark Life Sciences Ltd.,GLS,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Hathway Cable & Datacom Ltd.,HATHWAY,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Hemisphere Properties India Ltd.,HEMIPROP,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Indo Count Industries Ltd.,ICIL,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,IRCON International Ltd.,IRCON,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,MindTree Ltd.*,MINDTREE,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,NESCO Ltd.,NESCO,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Railtel Corporation Of India Ltd.,RAILTEL,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Sequent Scientific Ltd.,SEQUENT,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Solara Active Pharma Sciences Ltd.,SOLARA,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Spicejet Ltd.,SPICEJET,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Strides Pharma Science Ltd.,STAR,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Tata Steel Long Products Ltd.,TATASTLLP,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,UCO Bank,UCOBANK,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Vakrangee Ltd.,VAKRANGEE,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 2,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,DELETION,The following companies are being excluded,Venky's (India) Ltd.,VENKEYS,,,,PASS,Extracted from ind_prs01092022.pdf Page 2 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Adani Wilmar Ltd.,AWL,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Aether Industries Ltd.,AETHER,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Bharat Rasayan Ltd.,BHARATRAS,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Greenpanel Industries Ltd.,GREENPANEL,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,JBM Auto Ltd.,JBMA,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Mahindra Lifespace Developers Ltd.,MAHLIFE,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Motherson Sumi Wiring India Ltd.,MSUMI,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,NIIT Ltd.,NIITLTD,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Olectra Greentech Ltd.,OLECTRA,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Patanjali Foods Ltd.,PATANJALI,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Raymond Ltd.,RAYMOND,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Samvardhana Motherson International Ltd.,MOTHERSON,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Sharda Cropchem Ltd.,SHARDACROP,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Swan Energy Ltd.,SWANENERGY,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Tejas Networks Ltd.,TEJASNET,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Transport Corporation of India Ltd.,TCI,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs01092022.pdf,https://www.niftyindices.com/Press_Release/ind_prs01092022.pdf,Page 3,3) Nifty 500,2,3,"September 01, 2022","September 30, 2022",2022-SEP,ADDITION,The following companies are being included,Vedant Fashions Ltd.,MANYAVAR,,,,PASS,Extracted from ind_prs01092022.pdf Page 3 table
ind_prs02072020_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs02072020_1.pdf,Page 2,3) NIFTY 500,2,2,"July 02, 2020","July 31, 2020",2020-JUL,DELETION,The following companies are being excluded,Vedanta Ltd.,VEDL,,,,PASS,Extracted from ind_prs02072020_1.pdf Page 2 table
ind_prs02072020_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs02072020_1.pdf,Page 2,3) NIFTY 500,2,2,"July 02, 2020","July 31, 2020",2020-JUL,DELETION,The following companies are being excluded,SBI Cards and Payment Services Ltd.,SBICARD,,,,PASS,Extracted from ind_prs02072020_1.pdf Page 2 table
ind_prs04042025_2.pdf,https://www.niftyindices.com/Press_Release/ind_prs04042025_2.pdf,Page 1,1) Nifty 500,1,1,"April 04, 2025","April 11, 2025",2025-MAR,DELETION,The following companies are being excluded,Quess Corp Ltd.,QUESS,,,,PASS,Extracted from ind_prs04042025_2.pdf Page 1 table
ind_prs04042025_2.pdf,https://www.niftyindices.com/Press_Release/ind_prs04042025_2.pdf,Page 1,1) Nifty 500,1,1,"April 04, 2025","April 11, 2025",2025-MAR,DELETION,The following companies are being excluded,Sundram Fasteners Ltd.,SUNDRMFAST,,,,PASS,Extracted from ind_prs04042025_2.pdf Page 1 table
ind_prs04052026.pdf,https://www.niftyindices.com/Press_Release/ind_prs04052026.pdf,Page 1,1) Nifty 500,1,1,"May 04, 2026","May 12, 2026",2026-MAY,DELETION,The following companies are being excluded,Gujarat State Petronet Ltd.,GSPL,,,,PASS,Extracted from ind_prs04052026.pdf Page 1 table
ind_prs04052026.pdf,https://www.niftyindices.com/Press_Release/ind_prs04052026.pdf,Page 1,1) Nifty 500,1,1,"May 04, 2026","May 12, 2026",2026-MAY,DELETION,The following companies are being excluded,CIE Automotive India Ltd.,CIEINDIA,,,,PASS,Extracted from ind_prs04052026.pdf Page 1 table
