date,period,constituent_count,snapshot_available,snapshot_verified,event_coverage,identity_mapping_status,corporate_action_status,evidence_status,survivorship_bias_risk,backtest_allowed,notes
2026-03-31,2026-MAR,497,False,True,COMPLETE,APPLIED,APPLIED_WHERE_SUPPORTED,OFFICIAL_EVENT_RECONSTRUCTED,NONE,True,Reconstructed state count: 497 symbols
2025-09-30,2025-SEP,491,False,False,COMPLETE,APPLIED,APPLIED_WHERE_SUPPORTED,OFFICIAL_EVENT_RECONSTRUCTED,LOW,True,Reconstructed state count: 491 symbols
2025-03-31,2025-MAR,478,False,False,COMPLETE,APPLIED,APPLIED_WHERE_SUPPORTED,OFFICIAL_EVENT_RECONSTRUCTED,MEDIUM,True,Reconstructed state count: 478 symbols
2024-09-30,2024-SEP,455,False,False,COMPLETE,APPLIED,APPLIED_WHERE_SUPPORTED,OFFICIAL_EVENT_RECONSTRUCTED,MEDIUM,True,Reconstructed state count: 455 symbols
2024-03-31,2024-MAR,413,False,False,COMPLETE,APPLIED,APPLIED_WHERE_SUPPORTED,OFFICIAL_EVENT_RECONSTRUCTED,HIGH,True,Reconstructed state count: 413 symbols
2023-09-30,2023-SEP,420,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,PARTIAL_RECONSTRUCTION,HIGH,False,Reconstructed state count: 420 symbols
2023-03-31,2023-MAR,421,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,PARTIAL_RECONSTRUCTION,HIGH,False,Reconstructed state count: 421 symbols
2022-09-30,2022-SEP,425,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,PARTIAL_RECONSTRUCTION,HIGH,False,Reconstructed state count: 425 symbols
2022-03-31,2022-MAR,415,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,PARTIAL_RECONSTRUCTION,HIGH,False,Reconstructed state count: 415 symbols
2021-09-30,2021-SEP,411,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 411 symbols
2021-03-31,2021-MAR,416,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 416 symbols
2020-09-30,2020-SEP,413,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 413 symbols
2020-03-31,2020-MAR,414,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 414 symbols
2019-09-30,2019-SEP,419,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 419 symbols
2019-03-31,2019-MAR,420,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 420 symbols
2018-09-30,2018-SEP,420,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 420 symbols
2018-03-31,2018-MAR,422,False,False,PARTIAL_OMISSION,APPLIED,APPLIED_WHERE_SUPPORTED,UNVERIFIED,HIGH,False,Reconstructed state count: 422 symbols
