symbol,previous_classification,current_classification,reason_for_reclassification,evidence,source
ID_SYM_001,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_002,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_003,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_004,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_005,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_006,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_007,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_008,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_009,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_010,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_011,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_012,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_013,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_014,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_015,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_016,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_017,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_018,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_019,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_020,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_021,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_022,IDENTITY_MAPPING_REQUIRED,CORPORATE_ACTION,Merged into corporate action restructuring candidate set,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_023,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_024,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_025,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_026,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_027,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_028,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_029,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_030,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_031,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_032,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_033,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_034,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_035,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_036,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_037,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
ID_SYM_038,IDENTITY_MAPPING_REQUIRED,INITIAL_CONSTITUENT,Classified as initial 2018 constituent exit,NSE symbolchange.csv & event ledger,data/universe/symbolchange.csv
