intermediate_period,physical_rows,additions,deletions,replacements,other_events,total_event_rows
2024-DEC,78,39,39,0,0,78
2024-JUN,63,31,32,0,0,63
2024-MAY,54,29,25,0,0,54
2021-DEC,52,26,26,0,0,52
2023-DEC,46,19,27,0,0,46
2021-JAN,36,15,21,0,0,36
2025-JUN,12,6,6,0,0,12
2022-JUN,12,6,6,0,0,12
2023-JUN,12,6,6,0,0,12
2019-DEC,10,3,7,0,0,10
2026-JUL,10,5,5,0,0,10
2023-JUL,9,2,7,0,0,9
2022-DEC,8,3,5,0,0,8
2024-JUL,8,1,7,0,0,8
2026-JUN,6,3,0,3,0,6
2025-JUL,6,0,6,0,0,6
2017-MAR,6,3,3,0,0,6
2017-MAY,6,3,3,0,0,6
2022-MAY,4,0,4,0,0,4
2020-NOV,4,0,4,0,0,4
2026-MAY,3,1,2,0,0,3
2024-JAN,2,2,0,0,0,2
2021-JUN,2,0,2,0,0,2
2024-NOV,2,2,0,0,0,2
2025-DEC,2,0,2,0,0,2
2020-JUL,2,0,2,0,0,2
2025-NOV,2,0,2,0,0,2
2020-JAN,2,0,2,0,0,2
2017-SEP,2,0,2,0,0,2
