symbol,anomaly_type,first_event_id,first_date,second_event_id,second_date,description
AARTIDRUGS,CONSECUTIVE_DELETION,PEVT_01000,"August 30, 2022",PEVT_01234,"March 28, 2024",Consecutive DELETION events without intervening opposite transition
ABB,CONSECUTIVE_DELETION,PEVT_00776,"June 28, 2024",PEVT_00344,"December 31, 2024",Consecutive DELETION events without intervening opposite transition
ABBOTINDIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00781,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
ABCAPITAL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00172,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
ABLBL,CONSECUTIVE_ADDITION,PEVT_00853,"September 30, 2025",PEVT_00659,"October 31, 2025",Consecutive ADDITION events without intervening opposite transition
ABREL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00871,"August 29, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on August 29, 2025"
ABSLAMC,CONSECUTIVE_ADDITION,PEVT_01055,"September 30, 2024",PEVT_00384,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
ABSLAMC,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00072,"June 30,
2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 30,
2025"
ACI,CONSECUTIVE_ADDITION,PEVT_00584,"March 31, 2023",PEVT_01023,"August 31, 2023",Consecutive ADDITION events without intervening opposite transition
ACI,CONSECUTIVE_DELETION,PEVT_00451,"March 28, 2025",PEVT_00713,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
ADANIENT,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00782,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
ADANIGAS,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00334,"January 1, 2021",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on January 1, 2021"
ADANIGREEN,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00234,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
ADANIPORTS,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00345,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
ADANIPOWER,CONSECUTIVE_ADDITION,PEVT_00582,"March 31, 2023",PEVT_00129,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
ADANIPOWER,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00346,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
AEGISCHEM,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_01022,"August 31, 2023",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on August 31, 2023"
AEGISLOG,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00872,"August 29, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on August 29, 2025"
AETHER,CONSECUTIVE_DELETION,PEVT_01027,"September 30, 2024",PEVT_01081,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
AFCONS,CONSECUTIVE_ADDITION,PEVT_00469,"March 28, 2025",PEVT_00744,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
AFFLE,CONSECUTIVE_ADDITION,PEVT_00676,"December 26, 2019",PEVT_00808,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
AFFLE,CONSECUTIVE_DELETION,PEVT_00283,"October 31, 2024",PEVT_00693,,Consecutive DELETION events without intervening opposite transition
AFFLE,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00693,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
AIAENG,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00783,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
AKUMS,CONSECUTIVE_DELETION,PEVT_00426,"March 30, 2026",PEVT_00936,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
AKZOINDIA,CONSECUTIVE_ADDITION,PEVT_00539,"September 30, 2025",PEVT_00855,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
