security_id,isin,symbol,canonical_symbol,valid_from,valid_to,membership_status,evidence_status,source_event_count,identity_confidence
SEC_0001,INE466L01038,360ONE,360ONE,"December 31, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0002,INE470A01017,3MINDIA,3MINDIA,2018-01-01,9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,0,HIGH
SEC_0003,INE883F01010,AADHARHFC,AADHARHFC,"September 30, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0005,INE769A01020,AARTIIND,AARTIIND,"March 31, 2023",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,2,HIGH
SEC_0006,INE216P01012,AAVAS,AAVAS,2018-01-01,9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,0,HIGH
SEC_0007,INE117A01022,ABB,ABB,"June 28, 2024","June 28, 2024",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,4,HIGH
SEC_0007,INE117A01022,ABB,ABB,"June 30,
2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,4,HIGH
SEC_0008,INE358A01014,ABBOTINDIA,ABBOTINDIA,"May 31, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0009,INE674K01013,ABCAPITAL,ABCAPITAL,,9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0010,INE552Z01027,ABDL,ABDL,"March 30, 2026",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0011,INE647O01011,ABFRL,ABFRL,"May 31, 2024","October 31, 2024",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,3,HIGH
SEC_0011,INE647O01011,ABFRL,ABFRL,"October 31, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,3,HIGH
SEC_0013,INE14LE01019,ABLBL,ABLBL,"September 30, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,2,HIGH
SEC_0014,INE055A01016,ABREL,ABREL,"August 29, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0015,INE404A01024,ABSLAMC,ABSLAMC,"March
31, 2022","March 31, 2023",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,5,HIGH
SEC_0015,INE404A01024,ABSLAMC,ABSLAMC,"September 30, 2024","June 30,
2025",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,5,HIGH
SEC_0015,INE404A01024,ABSLAMC,ABSLAMC,"June 30,
2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,5,HIGH
SEC_0016,INE012A01025,ACC,ACC,"July 31, 2026",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,2,HIGH
SEC_0017,INE731H01025,ACE,ACE,"March 28, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0018,INSUFFICIENT_ISIN_COVERAGE,ACI,ACI,"March 31, 2023","March 28, 2025",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,4,HIGH
SEC_0019,INE622W01025,ACMESOLAR,ACMESOLAR,"March 28, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0020,INE00FF01025,ACUTAAS,ACUTAAS,"March 30, 2026",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0021,INE931S01010,ADANIENSOL,ADANIENSOL,2018-01-01,9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,0,HIGH
SEC_0022,INE423A01024,ADANIENT,ADANIENT,"May 31, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0023,INSUFFICIENT_ISIN_COVERAGE,ADANIGAS,ADANIGAS,"January 1, 2021",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,1,HIGH
SEC_0024,INE364U01010,ADANIGREEN,ADANIGREEN,"December 31, 2021",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0025,INE742F01042,ADANIPORTS,ADANIPORTS,"June 28, 2024","December 31, 2024",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,2,HIGH
SEC_0025,INE742F01042,ADANIPORTS,ADANIPORTS,"December 31, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,2,HIGH
SEC_0026,INE814H01029,ADANIPOWER,ADANIPOWER,"March 31, 2023","December 31, 2024",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,3,HIGH
SEC_0026,INE814H01029,ADANIPOWER,ADANIPOWER,"December 31, 2024",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,3,HIGH
SEC_0028,INSUFFICIENT_ISIN_COVERAGE,AEGISCHEM,AEGISCHEM,"August 31, 2023",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,1,HIGH
SEC_0029,INE208C01025,AEGISLOG,AEGISLOG,"August 29, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0030,INE0INX01018,AEGISVOPAK,AEGISVOPAK,"September 30, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,1,HIGH
SEC_0031,INSUFFICIENT_ISIN_COVERAGE,AETHER,AETHER,"September 30, 2022","September 30, 2024",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,3,HIGH
SEC_0032,INE101I01011,AFCONS,AFCONS,"March 28, 2025",9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,2,HIGH
SEC_0033,INE00WC01027,AFFLE,AFFLE,"December 26, 2019","October 31, 2024",ACTIVE_CONSTITUENT,OFFICIAL_EVENT_RECONSTRUCTED,4,HIGH
SEC_0033,INE00WC01027,AFFLE,AFFLE,,9999-12-31,ACTIVE_CONSTITUENT,OFFICIAL_SNAPSHOT,4,HIGH
