symbol,conflict_reason,recovered_status,official_source_document,evidence_details,classification
ABBOTINDIA,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ABCAPITAL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ABREL,"Last event was DELETION on August 29, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ABSLAMC,"Last event was DELETION on June 30,
2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ADANIENT,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ADANIGAS,"Last event was ADDITION on January 1, 2021, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ADANIGREEN,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ADANIPORTS,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ADANIPOWER,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AEGISCHEM,"Last event was ADDITION on August 31, 2023, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AEGISLOG,"Last event was DELETION on August 29, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AFFLE,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AIAENG,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AKZOINDIA,"Last event was ADDITION on September 30, 2025, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ALLCARGO,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ANGELBRKG,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
APOLLOHOSP,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ASHOKLEY,"Last event was DELETION on January 1, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ATGL,"Last event was DELETION on July 31, 2026, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AWL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
AXISBANK,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BAJAJ-AUTO,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BALAMINES,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BALKRISIND,"Last event was DELETION on July 31, 2023, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BALRAMCHIN,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BANKBARODA,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
