override_id,source_document,source_page,keyword,override_type,affected_symbol,link_status,resolution_notes
OVR_001,ind_prs01082018.pdf,Page 2,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_002,ind_prs03062009.pdf,Page 1,modification,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'modification'
OVR_003,ind_prs07092020.pdf,Page 2,revoke,CANCEL_ADDITION_OR_DELETION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revoke'
OVR_004,ind_prs10062026.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_005,ind_prs11122024.pdf,Page 25,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_006,ind_prs12032026.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_007,ind_prs12102021.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_008,ind_prs13032019.pdf,Page 3,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_009,ind_prs13052020.pdf,Page 2,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_010,ind_prs13072026.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_011,ind_prs15062018.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_012,ind_prs15092021.pdf,Page 5,revoke,CANCEL_ADDITION_OR_DELETION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revoke'
OVR_013,ind_prs15092025_1.pdf,Page 4,revision,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revision'
OVR_014,ind_prs16122019.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_015,ind_prs17032025.pdf,Page 2,revoke,CANCEL_ADDITION_OR_DELETION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revoke'
OVR_016,ind_prs17082023.pdf,Page 26,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_017,ind_prs17092019.pdf,Page 3,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_018,ind_prs17102023.pdf,Page 1,withdraw,INFORMATIONAL_NOTICE,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'withdraw'
OVR_019,ind_prs18022020.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_020,ind_prs18112022.pdf,Page 1,revision,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revision'
OVR_021,ind_prs19032024.pdf,Page 1,revoke,CANCEL_ADDITION_OR_DELETION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revoke'
OVR_022,ind_prs19042023_1.pdf,Page 1,withdraw,INFORMATIONAL_NOTICE,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'withdraw'
OVR_023,ind_prs20082020.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_024,ind_prs22022016.pdf,Page 2,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_025,ind_prs22022016_1.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_026,ind_prs22082017.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_027,ind_prs22092020.pdf,Page 1,revoke,CANCEL_ADDITION_OR_DELETION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revoke'
OVR_028,ind_prs22102021.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_029,ind_prs23022021_1.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_030,ind_prs23032020.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_031,ind_prs23082024.pdf,Page 38,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revised'
OVR_032,ind_prs23082024_1.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_033,ind_prs23092024.pdf,Page 4,revoke,CANCEL_ADDITION_OR_DELETION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revoke'
OVR_034,ind_prs24022022_1.pdf,Page 1,revision,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revision'
OVR_035,ind_prs24062021.pdf,Page 1,revoke,CANCEL_ADDITION_OR_DELETION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revoke'
OVR_036,ind_prs25021999.pdf,Page 1,withdrawn,CANCEL_ADDITION_OR_DELETION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'withdrawn'
OVR_037,ind_prs25032020.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_038,ind_prs25092024.pdf,Page 1,revoke,CANCEL_ADDITION_OR_DELETION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revoke'
OVR_039,ind_prs26022024.pdf,Page 1,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_040,ind_prs26042023.pdf,Page 2,revised,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revised'
OVR_041,ind_prs26072022.pdf,Page 1,revision,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,MATCHED_BY_DOCUMENT,Logged notice with keyword 'revision'
OVR_042,ind_prs27092023.pdf,Page 1,revision,CHANGE_EFFECTIVE_DATE_OR_SELECTION,,NO_MATCH (Informational / Unlinked Notice),Logged notice with keyword 'revision'
