event_id,raw_event_id,effective_date,event_type,symbol,old_symbol,new_symbol,company_name,isin,review_period,index_scope,membership_effect,source_document,source_page,source_section,resolution_status,event_origin
PEVT_00001,RAW_00001,,DELETION,TECHNO,,,Techno Electric & Engineering Company Ltd.,,2018-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01082018.pdf,Page 1,1) NIFTY 500 Index,ACTIVE,RAW
PEVT_00002,RAW_00002,,DELETION,BDL,,,Bharat Dynamics Ltd.,,2018-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01082018.pdf,Page 1,1) NIFTY 500 Index,ACTIVE,RAW
PEVT_00003,RAW_00003,"September 30, 2022",DELETION,ADVENZYMES,,,Advanced Enzyme Tech Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00004,RAW_00004,"September 30, 2022",DELETION,ERIS,,,Eris Lifesciences Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00005,RAW_00005,"September 30, 2022",DELETION,GLS,,,Glenmark Life Sciences Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00006,RAW_00006,"September 30, 2022",DELETION,HATHWAY,,,Hathway Cable & Datacom Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00007,RAW_00007,"September 30, 2022",DELETION,HEMIPROP,,,Hemisphere Properties India Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00008,RAW_00008,"September 30, 2022",DELETION,ICIL,,,Indo Count Industries Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00009,RAW_00009,"September 30, 2022",DELETION,IRCON,,,IRCON International Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00010,RAW_00010,"September 30, 2022",DELETION,MINDTREE,,,MindTree Ltd.*,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00011,RAW_00011,"September 30, 2022",DELETION,NESCO,,,NESCO Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00012,RAW_00012,"September 30, 2022",DELETION,RAILTEL,,,Railtel Corporation Of India Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00013,RAW_00013,"September 30, 2022",DELETION,SEQUENT,,,Sequent Scientific Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00014,RAW_00014,"September 30, 2022",DELETION,SOLARA,,,Solara Active Pharma Sciences Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00015,RAW_00015,"September 30, 2022",DELETION,SPICEJET,,,Spicejet Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00016,RAW_00016,"September 30, 2022",DELETION,STAR,,,Strides Pharma Science Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00017,RAW_00017,"September 30, 2022",DELETION,TATASTLLP,,,Tata Steel Long Products Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00018,RAW_00018,"September 30, 2022",DELETION,UCOBANK,,,UCO Bank,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00019,RAW_00019,"September 30, 2022",DELETION,VAKRANGEE,,,Vakrangee Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00020,RAW_00020,"September 30, 2022",DELETION,VENKEYS,,,Venky's (India) Ltd.,,2022-SEP,PARENT_NIFTY_500,REMOVE,ind_prs01092022.pdf,Page 2,3) Nifty 500,ACTIVE,RAW
PEVT_00021,RAW_00021,"September 30, 2022",ADDITION,AWL,,,Adani Wilmar Ltd.,,2022-SEP,PARENT_NIFTY_500,ADD,ind_prs01092022.pdf,Page 3,3) Nifty 500,ACTIVE,RAW
PEVT_00022,RAW_00022,"September 30, 2022",ADDITION,AETHER,,,Aether Industries Ltd.,,2022-SEP,PARENT_NIFTY_500,ADD,ind_prs01092022.pdf,Page 3,3) Nifty 500,ACTIVE,RAW
PEVT_00023,RAW_00023,"September 30, 2022",ADDITION,BHARATRAS,,,Bharat Rasayan Ltd.,,2022-SEP,PARENT_NIFTY_500,ADD,ind_prs01092022.pdf,Page 3,3) Nifty 500,ACTIVE,RAW
PEVT_00024,RAW_00024,"September 30, 2022",ADDITION,DEEPAKFERT,,,Deepak Fertilisers & Petrochemicals Corp. Ltd.,,2022-SEP,PARENT_NIFTY_500,ADD,ind_prs01092022.pdf,Page 3,3) Nifty 500,ACTIVE,RAW
