document,page,matched_term,section_context
ind_prs01082018.pdf,1,Nifty 500,"Date: August 01, 2018 PRESS RELEASE Replacement in Indices and revision in treatment of Special Divi"
ind_prs01092022.pdf,2,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Adani Total Gas Ltd. ATGL 
ind_prs01092022.pdf,3,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Adani Wilmar Ltd. AWL 2 Ae
ind_prs02072020_1.pdf,2,Nifty 500,3) NIFTY 500 The following company is being excluded: Sr. No. Company Name Symbol 1 Vedanta Ltd. VED
ind_prs02072020_1.pdf,4,Nifty 500,9) NIFTY MNC The following company is being excluded: Sr. No. Company Name Symbol 1 Vedanta Ltd. VED
ind_prs02122020.pdf,1,Nifty 500,"Press Release December 02, 2020 NSE Indices launches Nifty500 Multicap 50:25:25 Index Index tracks a"
ind_prs04042025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 04, 2025 NSE Indices launches Nifty500 Flexicap Quality 30 Index NSE’s i"
ind_prs04042025_2.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 04, 2025 Replacement in indices The Index Maintenance Sub-Committee (Equ"
ind_prs04042025_2.pdf,3,Nifty 500,6) Nifty500 Shariah The following company is being excluded: Sr. No. Company Name Symbol 1 Quess Cor
ind_prs04052026.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, May 04, 2026 Replacement in indices The Index Maintenance Sub-Committee (Equit"
ind_prs04052026.pdf,4,Nifty 500,9) Nifty India Infrastructure & Logistics The following company is being excluded: Sr. No. Company N
ind_prs04052026.pdf,5,Nifty 500,12) Nifty500 Flexicap Quality 30 The following company is being excluded: Sr. No. Company Name Symbo
ind_prs04062024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, June 04, 2024 NSE Indices launches Nifty500 Momentum 50 index NSE’s index serv"
ind_prs04072023.pdf,2,Nifty 500,3) Nifty Next 50 The following company is being excluded: Sr. No. Company Name Symbol 1 LTIMindtree 
ind_prs04092024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, September 04, 2024 NSE Indices launches Nifty500 Multicap Momentum Quality 50 "
ind_prs04102024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, October 04, 2024 Replacement in indices The Index Maintenance Sub-Committee (E"
ind_prs04102024.pdf,4,Nifty 500,9) Nifty MidSmall Financial Services The following company is being excluded: Sr. No. Company Name S
ind_prs05042022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 05, 2022 Replacements in indices The Index Maintenance Sub-Committee - E"
ind_prs05042022_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 05, 2022 Replacements in indices The Index Maintenance Sub-Committee - E"
ind_prs05042022_1.pdf,2,Nifty 500,3) NIFTY Smallcap 100 The following company is being excluded: Sr. No. Company Name Symbol 1 BEML Lt
ind_prs06022025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 06, 2025 NSE Indices launches Nifty500 Multifactor MQVLv 50 Index NSE"
ind_prs06032018.pdf,1,Nifty 500,"Date: March 06, 2018 PRESS RELEASE Replacements in Indices On February 21, 2018, IISL announced repl"
ind_prs06032023.pdf,5,Nifty 500,"B. Replacements in Nifty Shariah indices: On account of monthly review of Shariah compliance, replac"
ind_prs06042022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 06, 2022 Replacement in indices NSE vide its circular dated April 6, 202"
ind_prs06042022.pdf,2,Nifty 500,3) NIFTY MidSmallcap 400 The following company is being excluded: Sr. No. Company Name Symbol 1 Supr
ind_prs06062025.pdf,5,Nifty 500,Sr. No. Company Name Symbol 9 Newgen Software Technologies Ltd. NEWGEN The following companies are b
ind_prs06062025.pdf,6,Nifty 500,10) Nifty500 Flexicap Quality 30 The following companies are being excluded: Sr. No. Company Name Sy
ind_prs06062025.pdf,9,Nifty 500,Sr. No. Company Name Symbol 16 Muthoot Finance Ltd. MUTHOOTFIN 17 SBI Cards and Payment Services Ltd
ind_prs06062025.pdf,11,Nifty 500,Sr. No. Company Name Symbol 21 Muthoot Finance Ltd. MUTHOOTFIN 22 Narayana Hrudayalaya Ltd. NH 23 Na
