filename,file_size,page_count,contains_nifty500_section,doc_classification,extracted_additions,extracted_deletions,total_extracted_events
ind_prs01012025.pdf,161968,1,False,OTHER,0,0,0
ind_prs01022022.pdf,171915,2,False,OTHER,0,0,0
ind_prs01042009.pdf,13367,1,False,OTHER,0,0,0
ind_prs01082018.pdf,167864,3,True,OTHER,0,2,2
ind_prs01092022.pdf,525961,29,True,RECONSTITUTION,18,18,36
ind_prs01092022_1.pdf,165243,2,False,OTHER,0,0,0
ind_prs01102021.pdf,165067,2,False,OTHER,0,0,0
ind_prs01102024.pdf,161966,1,False,OTHER,0,0,0
ind_prs02012023.pdf,164931,2,False,OTHER,0,0,0
ind_prs02032026_2.pdf,341351,2,False,OTHER,0,0,0
ind_prs02042025_1.pdf,158523,1,False,OTHER,0,0,0
ind_prs02072020_1.pdf,498688,6,True,OTHER,0,2,2
ind_prs02072025.pdf,253021,1,False,OTHER,0,0,0
ind_prs02082013.pdf,8307,1,False,OTHER,0,0,0
ind_prs02112021.pdf,165699,2,False,OTHER,0,0,0
ind_prs02122020.pdf,140887,2,True,OTHER,0,0,0
ind_prs02122024.pdf,162041,1,False,OTHER,0,0,0
ind_prs03062009.pdf,15514,1,False,OTHER,0,0,0
ind_prs03062025_1.pdf,162591,1,False,OTHER,0,0,0
ind_prs03072025.pdf,250538,1,False,OTHER,0,0,0
ind_prs03072025_1.pdf,252662,1,False,OTHER,0,0,0
ind_prs03082026.pdf,321954,1,False,OTHER,0,0,0
ind_prs04022011.pdf,20766,1,False,OTHER,0,0,0
ind_prs04042025.pdf,196529,2,True,OTHER,0,0,0
ind_prs04042025_2.pdf,177744,3,True,OTHER,0,2,2
ind_prs04052022.pdf,163076,2,False,OTHER,0,0,0
ind_prs04052023.pdf,141040,1,False,OTHER,0,0,0
ind_prs04052026.pdf,385708,5,True,OTHER,0,2,2
ind_prs04062024.pdf,195217,2,True,OTHER,0,0,0
ind_prs04062025.pdf,162034,1,False,OTHER,0,0,0
