source_document,source_addition_count,source_deletion_count,ledger_addition_count,ledger_deletion_count,addition_difference,deletion_difference,extraction_status
ind_prs01082018.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs01092022.pdf,18,18,18,18,0,0,MATCHED_EXACT
ind_prs02072020_1.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs04042025_2.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs04052026.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs04072023.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs04102024.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs05042022.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs05042022_1.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs06032018.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs06032023.pdf,8,7,8,7,0,0,MATCHED_EXACT
ind_prs06042022.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs06062025.pdf,6,6,6,6,0,0,MATCHED_EXACT
ind_prs06122022.pdf,3,3,3,3,0,0,MATCHED_EXACT
ind_prs07032017.pdf,3,3,3,3,0,0,MATCHED_EXACT
ind_prs07062024.pdf,31,31,31,31,0,0,MATCHED_EXACT
ind_prs07092020.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs07122023.pdf,19,27,19,27,0,0,MATCHED_EXACT
ind_prs08032022.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs08122021.pdf,26,26,26,26,0,0,MATCHED_EXACT
ind_prs09012020.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs09022023_1.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs09062023.pdf,6,6,6,6,0,0,MATCHED_EXACT
ind_prs10032021.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs10062026.pdf,3,0,3,0,0,0,MATCHED_EXACT
ind_prs10102024.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs10102024_1.pdf,5,15,5,15,0,0,MATCHED_EXACT
ind_prs11072022.pdf,3,3,3,3,0,0,MATCHED_EXACT
ind_prs11122020.pdf,15,21,15,21,0,0,MATCHED_EXACT
ind_prs11122024.pdf,39,39,39,39,0,0,MATCHED_EXACT
ind_prs11122025.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs12032020.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs12032026.pdf,8,17,8,17,0,0,MATCHED_EXACT
ind_prs13032025.pdf,12,18,12,18,0,0,MATCHED_EXACT
ind_prs13072026_1.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs14032024.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs15062018.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs15062021.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs15062022.pdf,6,6,6,6,0,0,MATCHED_EXACT
ind_prs15092021.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs15092023.pdf,13,13,13,13,0,0,MATCHED_EXACT
ind_prs15092025.pdf,16,18,16,18,0,0,MATCHED_EXACT
ind_prs15092025_1.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs16092022.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs17022023_1.pdf,20,20,20,20,0,0,MATCHED_EXACT
ind_prs17032025.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs17072026_1.pdf,5,3,5,3,0,0,MATCHED_EXACT
ind_prs17082023.pdf,18,18,18,18,0,0,MATCHED_EXACT
ind_prs17092019.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs17092019_1.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs17102023.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs17102025.pdf,7,7,7,7,0,0,MATCHED_EXACT
ind_prs17112025_1.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs18022020.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs18022025.pdf,0,4,0,4,0,0,MATCHED_EXACT
ind_prs18112020.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs18122019.pdf,3,3,3,3,0,0,MATCHED_EXACT
ind_prs19012024.pdf,2,0,2,0,0,0,MATCHED_EXACT
ind_prs19032024.pdf,2,0,2,0,0,0,MATCHED_EXACT
ind_prs19042023_1.pdf,0,4,0,4,0,0,MATCHED_EXACT
ind_prs19122019.pdf,0,4,0,4,0,0,MATCHED_EXACT
ind_prs20022026_2.pdf,1,0,1,0,0,0,MATCHED_EXACT
ind_prs20052026_1.pdf,1,0,1,0,0,0,MATCHED_EXACT
ind_prs20082020.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs20092021.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs20102022.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs20102022_1.pdf,16,3,16,3,0,0,MATCHED_EXACT
ind_prs21022023.pdf,1,0,1,0,0,0,MATCHED_EXACT
ind_prs21022025.pdf,30,30,30,30,0,0,MATCHED_EXACT
ind_prs21042025_1.pdf,3,0,3,0,0,0,MATCHED_EXACT
ind_prs21062024_1.pdf,0,1,0,1,0,0,MATCHED_EXACT
ind_prs22022016_1.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs22042021.pdf,0,4,0,4,0,0,MATCHED_EXACT
ind_prs22052024.pdf,29,25,29,25,0,0,MATCHED_EXACT
ind_prs22082025.pdf,18,18,18,18,0,0,MATCHED_EXACT
ind_prs22082025_1.pdf,5,6,5,6,0,0,MATCHED_EXACT
ind_prs22102021.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs22112024.pdf,2,0,2,0,0,0,MATCHED_EXACT
ind_prs22122022.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs23022021.pdf,24,24,24,24,0,0,MATCHED_EXACT
ind_prs23022026.pdf,31,31,31,31,0,0,MATCHED_EXACT
ind_prs23032020.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs23082022.pdf,10,6,10,6,0,0,MATCHED_EXACT
ind_prs23082023.pdf,5,6,5,6,0,0,MATCHED_EXACT
ind_prs23082024.pdf,27,27,27,27,0,0,MATCHED_EXACT
ind_prs23082024_1.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs23092024.pdf,14,28,14,28,0,0,MATCHED_EXACT
ind_prs24022022_1.pdf,32,32,32,32,0,0,MATCHED_EXACT
ind_prs24042024.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs24052022.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs24072023.pdf,2,5,2,5,0,0,MATCHED_EXACT
ind_prs24072024.pdf,1,7,1,7,0,0,MATCHED_EXACT
ind_prs24072025.pdf,0,6,0,6,0,0,MATCHED_EXACT
ind_prs25092024.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs26072022.pdf,10,4,10,4,0,0,MATCHED_EXACT
ind_prs26102020.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs27042017.pdf,3,3,3,3,0,0,MATCHED_EXACT
ind_prs27062023.pdf,0,0,0,0,0,0,MATCHED_EXACT
ind_prs28022024.pdf,34,34,34,34,0,0,MATCHED_EXACT
ind_prs29082017.pdf,0,2,0,2,0,0,MATCHED_EXACT
ind_prs31082018.pdf,0,2,0,2,0,0,MATCHED_EXACT
