symbol,source_document,source_page,source_section,source_evidence,expected_event_type,event_ledger_status,proof_of_missing_event
LALPATHLAB,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MANKIND,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MAPMYINDIA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MAXINDIA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MFL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MFSL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MGL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MINDACORP,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MMTC,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MOTHERSON,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MRF,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
