event_id,effective_date,event_type,symbol,isin,identity_type,state_before,expected_delta,actual_delta,state_after,anomaly_flag
PEVT_00610,"July 31, 2026",ADDITION,TMCV,,SYMBOL,500,-1,-1,499,NORMAL
PEVT_00609,"July 31, 2026",ADDITION,LAURUSLABS,,SYMBOL,499,-1,-1,498,NORMAL
PEVT_00608,"July 31, 2026",ADDITION,HINDZINC,,SYMBOL,498,-1,-1,497,NORMAL
PEVT_00607,"July 31, 2026",ADDITION,AMBUJACEM,,SYMBOL,497,-1,-1,496,NORMAL
PEVT_00606,"July 31, 2026",ADDITION,ACC,,SYMBOL,496,-1,-1,495,NORMAL
PEVT_00605,"July 31, 2026",DELETION,TORNTPHARM,,SYMBOL,495,1,0,495,ALREADY_PRESENT
PEVT_00604,"July 31, 2026",DELETION,ELECON,,SYMBOL,495,1,0,495,ALREADY_PRESENT
PEVT_00603,"July 31, 2026",DELETION,ATGL,,SYMBOL,495,1,0,495,ALREADY_PRESENT
PEVT_00482,"July
17, 2026",DELETION,PFOCUS,,SYMBOL,495,1,0,495,ALREADY_PRESENT
PEVT_00481,"July
17, 2026",DELETION,JBCHEPHARM,,SYMBOL,495,1,1,496,NORMAL
PEVT_00692,"May 29, 2026",ADDITION,CIEINDIA,,SYMBOL,496,-1,-1,495,NORMAL
PEVT_00044,"May 12, 2026",DELETION,CIEINDIA,,SYMBOL,495,1,1,496,NORMAL
PEVT_00043,"May 12, 2026",DELETION,GSPL,,SYMBOL,496,1,1,497,NORMAL
PEVT_00997,"March 30, 2026",ADDITION,ZYDUSWELL,,SYMBOL,497,-1,-1,496,NORMAL
PEVT_00996,"March 30, 2026",ADDITION,URBANCO,,SYMBOL,496,-1,-1,495,NORMAL
PEVT_00995,"March 30, 2026",ADDITION,TRAVELFOOD,,SYMBOL,495,-1,-1,494,NORMAL
PEVT_00994,"March 30, 2026",ADDITION,TENNIND,,SYMBOL,494,-1,-1,493,NORMAL
PEVT_00993,"March 30, 2026",ADDITION,TEGA,,SYMBOL,493,-1,-1,492,NORMAL
PEVT_00992,"March 30, 2026",ADDITION,TMCV,,SYMBOL,492,-1,0,492,ALREADY_ABSENT
PEVT_00991,"March 30, 2026",ADDITION,TATACAP,,SYMBOL,492,-1,-1,491,NORMAL
PEVT_00990,"March 30, 2026",ADDITION,SPLPETRO,,SYMBOL,491,-1,-1,490,NORMAL
PEVT_00989,"March 30, 2026",ADDITION,PIRAMALFIN,,SYMBOL,490,-1,-1,489,NORMAL
PEVT_00988,"March 30, 2026",ADDITION,PINELABS,,SYMBOL,489,-1,-1,488,NORMAL
PEVT_00987,"March 30, 2026",ADDITION,PWL,,SYMBOL,488,-1,-1,487,NORMAL
PEVT_00986,"March 30, 2026",ADDITION,PARADEEP,,SYMBOL,487,-1,-1,486,NORMAL
PEVT_00985,"March 30, 2026",ADDITION,MEESHO,,SYMBOL,486,-1,-1,485,NORMAL
PEVT_00984,"March 30, 2026",ADDITION,LGEINDIA,,SYMBOL,485,-1,-1,484,NORMAL
PEVT_00983,"March 30, 2026",ADDITION,LENSKART,,SYMBOL,484,-1,-1,483,NORMAL
PEVT_00982,"March 30, 2026",ADDITION,JAINREC,,SYMBOL,483,-1,-1,482,NORMAL
PEVT_00981,"March 30, 2026",ADDITION,ICICIAMC,,SYMBOL,482,-1,-1,481,NORMAL
PEVT_00980,"March 30, 2026",ADDITION,HDBFS,,SYMBOL,481,-1,-1,480,NORMAL
PEVT_00979,"March 30, 2026",ADDITION,GALLANTT,,SYMBOL,480,-1,-1,479,NORMAL
PEVT_00978,"March 30, 2026",ADDITION,GABRIEL,,SYMBOL,479,-1,-1,478,NORMAL
PEVT_00977,"March 30, 2026",ADDITION,EMMVEE,,SYMBOL,478,-1,-1,477,NORMAL
PEVT_00976,"March 30, 2026",ADDITION,CEMPRO,,SYMBOL,477,-1,-1,476,NORMAL
PEVT_00975,"March 30, 2026",ADDITION,CARTRADE,,SYMBOL,476,-1,-1,475,NORMAL
PEVT_00974,"March 30, 2026",ADDITION,CANHLIFE,,SYMBOL,475,-1,-1,474,NORMAL
PEVT_00973,"March 30, 2026",ADDITION,GROWW,,SYMBOL,474,-1,-1,473,NORMAL
PEVT_00972,"March 30, 2026",ADDITION,BELRISE,,SYMBOL,473,-1,-1,472,NORMAL
PEVT_00971,"March 30, 2026",ADDITION,ANURAS,,SYMBOL,472,-1,-1,471,NORMAL
PEVT_00970,"March 30, 2026",ADDITION,ANTHEM,,SYMBOL,471,-1,-1,470,NORMAL
PEVT_00969,"March 30, 2026",ADDITION,ABDL,,SYMBOL,470,-1,-1,469,NORMAL
PEVT_00968,"March 30, 2026",ADDITION,CPPLUS,,SYMBOL,469,-1,-1,468,NORMAL
PEVT_00967,"March 30, 2026",ADDITION,ACUTAAS,,SYMBOL,468,-1,-1,467,NORMAL
PEVT_00966,"March 30, 2026",DELETION,VGUARD,,SYMBOL,467,1,1,468,NORMAL
PEVT_00965,"March 30, 2026",DELETION,VENTIVE,,SYMBOL,468,1,1,469,NORMAL
PEVT_00964,"March 30, 2026",DELETION,MANYAVAR,,SYMBOL,469,1,1,470,NORMAL
PEVT_00963,"March 30, 2026",DELETION,DBREALTY,,SYMBOL,470,1,1,471,NORMAL
PEVT_00962,"March 30, 2026",DELETION,TRIVENI,,SYMBOL,471,1,1,472,NORMAL
PEVT_00961,"March 30, 2026",DELETION,SUNDRMFAST,,SYMBOL,472,1,1,473,NORMAL
PEVT_00960,"March 30, 2026",DELETION,RELINFRA,,SYMBOL,473,1,1,474,NORMAL
PEVT_00959,"March 30, 2026",DELETION,RCF,,SYMBOL,474,1,1,475,NORMAL
PEVT_00958,"March 30, 2026",DELETION,PGHH,,SYMBOL,475,1,1,476,NORMAL
PEVT_00957,"March 30, 2026",DELETION,PRAJIND,,SYMBOL,476,1,1,477,NORMAL
PEVT_00956,"March 30, 2026",DELETION,METROPOLIS,,SYMBOL,477,1,1,478,NORMAL
PEVT_00955,"March 30, 2026",DELETION,MAHSEAMLES,,SYMBOL,478,1,1,479,NORMAL
PEVT_00954,"March 30, 2026",DELETION,MAHSCOOTER,,SYMBOL,479,1,1,480,NORMAL
PEVT_00953,"March 30, 2026",DELETION,KSB,,SYMBOL,480,1,1,481,NORMAL
PEVT_00952,"March 30, 2026",DELETION,KIRLOSBROS,,SYMBOL,481,1,1,482,NORMAL
PEVT_00951,"March 30, 2026",DELETION,JYOTHYLAB,,SYMBOL,482,1,1,483,NORMAL
PEVT_00950,"March 30, 2026",DELETION,INOXINDIA,,SYMBOL,483,1,1,484,NORMAL
PEVT_00949,"March 30, 2026",DELETION,HAPPSTMNDS,,SYMBOL,484,1,1,485,NORMAL
PEVT_00948,"March 30, 2026",DELETION,GUJGASLTD,,SYMBOL,485,1,1,486,NORMAL
PEVT_00947,"March 30, 2026",DELETION,GODREJAGRO,,SYMBOL,486,1,1,487,NORMAL
PEVT_00946,"March 30, 2026",DELETION,FINPIPE,,SYMBOL,487,1,1,488,NORMAL
PEVT_00945,"March 30, 2026",DELETION,AGARWALEYE,,SYMBOL,488,1,1,489,NORMAL
PEVT_00944,"March 30, 2026",DELETION,CERA,,SYMBOL,489,1,1,490,NORMAL
PEVT_00943,"March 30, 2026",DELETION,CENTURYPLY,,SYMBOL,490,1,1,491,NORMAL
PEVT_00942,"March 30, 2026",DELETION,CAMPUS,,SYMBOL,491,1,1,492,NORMAL
PEVT_00941,"March 30, 2026",DELETION,BASF,,SYMBOL,492,1,1,493,NORMAL
PEVT_00940,"March 30, 2026",DELETION,ASTRAZEN,,SYMBOL,493,1,1,494,NORMAL
PEVT_00939,"March 30, 2026",DELETION,ALOKINDS,,SYMBOL,494,1,1,495,NORMAL
PEVT_00938,"March 30, 2026",DELETION,ALKYLAMINE,,SYMBOL,495,1,1,496,NORMAL
PEVT_00937,"March 30, 2026",DELETION,APLLTD,,SYMBOL,496,1,1,497,NORMAL
PEVT_00936,"March 30, 2026",DELETION,AKUMS,,SYMBOL,497,1,1,498,NORMAL
PEVT_00450,"March 30, 2026",ADDITION,ZYDUSWELL,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00449,"March 30, 2026",ADDITION,TENNIND,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00448,"March 30, 2026",ADDITION,TEGA,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00447,"March 30, 2026",ADDITION,SPLPETRO,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00446,"March 30, 2026",ADDITION,GALLANTT,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00445,"March 30, 2026",ADDITION,GABRIEL,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00444,"March 30, 2026",ADDITION,CEMPRO,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00443,"March 30, 2026",ADDITION,CPPLUS,,SYMBOL,498,-1,0,498,ALREADY_ABSENT
PEVT_00442,"March 30, 2026",DELETION,VGUARD,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00441,"March 30, 2026",DELETION,SUNDRMFAST,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00440,"March 30, 2026",DELETION,RELINFRA,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00439,"March 30, 2026",DELETION,RCF,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00438,"March 30, 2026",DELETION,PGHH,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00437,"March 30, 2026",DELETION,METROPOLIS,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00436,"March 30, 2026",DELETION,KSB,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00435,"March 30, 2026",DELETION,KIRLOSBROS,,SYMBOL,498,1,0,498,ALREADY_PRESENT
PEVT_00434,"March 30, 2026",DELETION,JYOTHYLAB,,SYMBOL,498,1,0,498,ALREADY_PRESENT
