date,review_period,event_id,event_type,symbol,isin,state_count_after_event,status_flag
"July 31, 2026",2026-JUL,PEVT_00610,ADDITION,TMCV,,500,NORMAL
"July 31, 2026",2026-JUL,PEVT_00609,ADDITION,LAURUSLABS,,500,NORMAL
"July 31, 2026",2026-JUL,PEVT_00608,ADDITION,HINDZINC,,500,NORMAL
"July 31, 2026",2026-JUL,PEVT_00607,ADDITION,AMBUJACEM,,500,NORMAL
"July 31, 2026",2026-JUL,PEVT_00606,ADDITION,ACC,,500,NORMAL
"July 31, 2026",2026-JUL,PEVT_00605,DELETION,TORNTPHARM,,501,NORMAL
"July 31, 2026",2026-JUL,PEVT_00604,DELETION,ELECON,,502,NORMAL
"July 31, 2026",2026-JUL,PEVT_00603,DELETION,ATGL,,503,NORMAL
"July
17, 2026",2026-JUL,PEVT_00482,DELETION,PFOCUS,,504,NORMAL
"July
17, 2026",2026-JUL,PEVT_00481,DELETION,JBCHEPHARM,,505,NORMAL
"May 29, 2026",2026-MAY,PEVT_00692,ADDITION,CIEINDIA,,505,NORMAL
"May 12, 2026",2026-MAY,PEVT_00044,DELETION,CIEINDIA,,506,NORMAL
"May 12, 2026",2026-MAY,PEVT_00043,DELETION,GSPL,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00997,ADDITION,ZYDUSWELL,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00996,ADDITION,URBANCO,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00995,ADDITION,TRAVELFOOD,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00994,ADDITION,TENNIND,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00993,ADDITION,TEGA,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00992,ADDITION,TMCV,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00991,ADDITION,TATACAP,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00990,ADDITION,SPLPETRO,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00989,ADDITION,PIRAMALFIN,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00988,ADDITION,PINELABS,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00987,ADDITION,PWL,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00986,ADDITION,PARADEEP,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00985,ADDITION,MEESHO,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00984,ADDITION,LGEINDIA,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00983,ADDITION,LENSKART,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00982,ADDITION,JAINREC,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00981,ADDITION,ICICIAMC,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00980,ADDITION,HDBFS,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00979,ADDITION,GALLANTT,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00978,ADDITION,GABRIEL,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00977,ADDITION,EMMVEE,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00976,ADDITION,CEMPRO,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00975,ADDITION,CARTRADE,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00974,ADDITION,CANHLIFE,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00973,ADDITION,GROWW,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00972,ADDITION,BELRISE,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00971,ADDITION,ANURAS,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00970,ADDITION,ANTHEM,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00969,ADDITION,ABDL,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00968,ADDITION,CPPLUS,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00967,ADDITION,ACUTAAS,,507,NORMAL
"March 30, 2026",2026-MAR,PEVT_00966,DELETION,VGUARD,,508,NORMAL
"March 30, 2026",2026-MAR,PEVT_00965,DELETION,VENTIVE,,509,NORMAL
"March 30, 2026",2026-MAR,PEVT_00964,DELETION,MANYAVAR,,510,NORMAL
"March 30, 2026",2026-MAR,PEVT_00963,DELETION,DBREALTY,,511,NORMAL
"March 30, 2026",2026-MAR,PEVT_00962,DELETION,TRIVENI,,512,NORMAL
"March 30, 2026",2026-MAR,PEVT_00961,DELETION,SUNDRMFAST,,513,NORMAL
"March 30, 2026",2026-MAR,PEVT_00960,DELETION,RELINFRA,,514,NORMAL
"March 30, 2026",2026-MAR,PEVT_00959,DELETION,RCF,,515,NORMAL
"March 30, 2026",2026-MAR,PEVT_00958,DELETION,PGHH,,516,NORMAL
"March 30, 2026",2026-MAR,PEVT_00957,DELETION,PRAJIND,,517,NORMAL
"March 30, 2026",2026-MAR,PEVT_00956,DELETION,METROPOLIS,,518,NORMAL
"March 30, 2026",2026-MAR,PEVT_00955,DELETION,MAHSEAMLES,,519,NORMAL
"March 30, 2026",2026-MAR,PEVT_00954,DELETION,MAHSCOOTER,,520,NORMAL
"March 30, 2026",2026-MAR,PEVT_00953,DELETION,KSB,,521,NORMAL
"March 30, 2026",2026-MAR,PEVT_00952,DELETION,KIRLOSBROS,,522,NORMAL
"March 30, 2026",2026-MAR,PEVT_00951,DELETION,JYOTHYLAB,,523,NORMAL
"March 30, 2026",2026-MAR,PEVT_00950,DELETION,INOXINDIA,,524,NORMAL
"March 30, 2026",2026-MAR,PEVT_00949,DELETION,HAPPSTMNDS,,525,NORMAL
"March 30, 2026",2026-MAR,PEVT_00948,DELETION,GUJGASLTD,,526,NORMAL
"March 30, 2026",2026-MAR,PEVT_00947,DELETION,GODREJAGRO,,527,NORMAL
"March 30, 2026",2026-MAR,PEVT_00946,DELETION,FINPIPE,,528,NORMAL
"March 30, 2026",2026-MAR,PEVT_00945,DELETION,AGARWALEYE,,529,NORMAL
"March 30, 2026",2026-MAR,PEVT_00944,DELETION,CERA,,530,NORMAL
"March 30, 2026",2026-MAR,PEVT_00943,DELETION,CENTURYPLY,,531,NORMAL
"March 30, 2026",2026-MAR,PEVT_00942,DELETION,CAMPUS,,532,NORMAL
"March 30, 2026",2026-MAR,PEVT_00941,DELETION,BASF,,533,NORMAL
"March 30, 2026",2026-MAR,PEVT_00940,DELETION,ASTRAZEN,,534,NORMAL
"March 30, 2026",2026-MAR,PEVT_00939,DELETION,ALOKINDS,,535,NORMAL
"March 30, 2026",2026-MAR,PEVT_00938,DELETION,ALKYLAMINE,,536,NORMAL
"March 30, 2026",2026-MAR,PEVT_00937,DELETION,APLLTD,,537,NORMAL
"March 30, 2026",2026-MAR,PEVT_00936,DELETION,AKUMS,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00450,ADDITION,ZYDUSWELL,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00449,ADDITION,TENNIND,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00448,ADDITION,TEGA,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00447,ADDITION,SPLPETRO,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00446,ADDITION,GALLANTT,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00445,ADDITION,GABRIEL,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00444,ADDITION,CEMPRO,,538,NORMAL
"March 30, 2026",2026-MAR,PEVT_00443,ADDITION,CPPLUS,,538,NORMAL
