event_id,source_document,symbol,event_type,existing_resolved_status,validated_decision_status,diff_result,resolution_evidence
EVT_00001,ind_prs01082018.pdf,TECHNO,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00002,ind_prs01082018.pdf,BDL,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00003,ind_prs01092022.pdf,ADVENZYMES,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00004,ind_prs01092022.pdf,ERIS,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00005,ind_prs01092022.pdf,GLS,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00006,ind_prs01092022.pdf,HATHWAY,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00007,ind_prs01092022.pdf,HEMIPROP,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00008,ind_prs01092022.pdf,ICIL,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00009,ind_prs01092022.pdf,IRCON,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00010,ind_prs01092022.pdf,MINDTREE,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00011,ind_prs01092022.pdf,NESCO,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00012,ind_prs01092022.pdf,RAILTEL,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00013,ind_prs01092022.pdf,SEQUENT,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00014,ind_prs01092022.pdf,SOLARA,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00015,ind_prs01092022.pdf,SPICEJET,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00016,ind_prs01092022.pdf,STAR,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00017,ind_prs01092022.pdf,TATASTLLP,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00018,ind_prs01092022.pdf,UCOBANK,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00019,ind_prs01092022.pdf,VAKRANGEE,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00020,ind_prs01092022.pdf,VENKEYS,DELETION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00021,ind_prs01092022.pdf,AWL,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00022,ind_prs01092022.pdf,AETHER,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00023,ind_prs01092022.pdf,BHARATRAS,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00024,ind_prs01092022.pdf,DEEPAKFERT,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00025,ind_prs01092022.pdf,GREENPANEL,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00026,ind_prs01092022.pdf,JBMA,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00027,ind_prs01092022.pdf,MAHLIFE,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00028,ind_prs01092022.pdf,MSUMI,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
EVT_00029,ind_prs01092022.pdf,NIITLTD,ADDITION,ACTIVE,ACTIVE,MATCH,Verified raw reconstitution event
