event_id,raw_event_id,event_origin,effective_date,announcement_date,event_type,resolved_event_type,symbol,old_symbol,new_symbol,company_name,isin,review_period,coverage_scope,source_document,source_page,resolution_status,resolution_reason,override_id,replacement_id
EVT_00001,RAW_00001,RAW,,"August 01, 2018",DELETION,DELETION,TECHNO,,,Techno Electric & Engineering Company Ltd.,,2018-SEP,PRIMARY_TARGET,ind_prs01082018.pdf,Page 1,ACTIVE,Verified raw reconstitution event,OVR_001,
EVT_00002,RAW_00002,RAW,,"August 01, 2018",DELETION,DELETION,BDL,,,Bharat Dynamics Ltd.,,2018-SEP,PRIMARY_TARGET,ind_prs01082018.pdf,Page 1,ACTIVE,Verified raw reconstitution event,OVR_001,
EVT_00003,RAW_00003,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,ADVENZYMES,,,Advanced Enzyme Tech Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00004,RAW_00004,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,ERIS,,,Eris Lifesciences Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00005,RAW_00005,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,GLS,,,Glenmark Life Sciences Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00006,RAW_00006,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,HATHWAY,,,Hathway Cable & Datacom Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00007,RAW_00007,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,HEMIPROP,,,Hemisphere Properties India Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00008,RAW_00008,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,ICIL,,,Indo Count Industries Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00009,RAW_00009,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,IRCON,,,IRCON International Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00010,RAW_00010,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,MINDTREE,,,MindTree Ltd.*,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00011,RAW_00011,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,NESCO,,,NESCO Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00012,RAW_00012,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,RAILTEL,,,Railtel Corporation Of India Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00013,RAW_00013,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,SEQUENT,,,Sequent Scientific Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00014,RAW_00014,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,SOLARA,,,Solara Active Pharma Sciences Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00015,RAW_00015,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,SPICEJET,,,Spicejet Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00016,RAW_00016,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,STAR,,,Strides Pharma Science Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00017,RAW_00017,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,TATASTLLP,,,Tata Steel Long Products Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00018,RAW_00018,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,UCOBANK,,,UCO Bank,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00019,RAW_00019,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,VAKRANGEE,,,Vakrangee Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00020,RAW_00020,RAW,"September 30, 2022","September 01, 2022",DELETION,DELETION,VENKEYS,,,Venky's (India) Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 2,ACTIVE,Verified raw reconstitution event,,
EVT_00021,RAW_00021,RAW,"September 30, 2022","September 01, 2022",ADDITION,ADDITION,AWL,,,Adani Wilmar Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 3,ACTIVE,Verified raw reconstitution event,,
EVT_00022,RAW_00022,RAW,"September 30, 2022","September 01, 2022",ADDITION,ADDITION,AETHER,,,Aether Industries Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 3,ACTIVE,Verified raw reconstitution event,,
EVT_00023,RAW_00023,RAW,"September 30, 2022","September 01, 2022",ADDITION,ADDITION,BHARATRAS,,,Bharat Rasayan Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 3,ACTIVE,Verified raw reconstitution event,,
EVT_00024,RAW_00024,RAW,"September 30, 2022","September 01, 2022",ADDITION,ADDITION,DEEPAKFERT,,,Deepak Fertilisers & Petrochemicals Corp. Ltd.,,2022-SEP,FUTURE_RELATIVE_TO_SNAPSHOT,ind_prs01092022.pdf,Page 3,ACTIVE,Verified raw reconstitution event,,
