security_id,isin,historical_symbol,canonical_symbol,company_name,valid_from,valid_to,mapping_type,mapping_confidence,source
SEC_0001,INE466L01038,360ONE,360ONE,360 ONE WAM Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0002,INE470A01017,3MINDIA,3MINDIA,3M India Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0003,INE883F01010,AADHARHFC,AADHARHFC,Aadhar Housing Finance Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0004,INSUFFICIENT_ISIN_COVERAGE,AARTIDRUGS,AARTIDRUGS,Aarti Drugs Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,MEDIUM,nifty500_constituents.csv & parent_events.csv
SEC_0005,INE769A01020,AARTIIND,AARTIIND,Aarti Industries Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0006,INE216P01012,AAVAS,AAVAS,Aavas Financiers Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0007,INE117A01022,ABB,ABB,ABB India Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0008,INE358A01014,ABBOTINDIA,ABBOTINDIA,Abbott India Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0009,INE674K01013,ABCAPITAL,ABCAPITAL,Aditya Birla Capital Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0010,INE552Z01027,ABDL,ABDL,Allied Blenders and Distillers Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0011,INE647O01011,ABFRL,ABFRL,Aditya Birla Fashion and Retail Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0012,INSUFFICIENT_ISIN_COVERAGE,ABIRLANUVO,ABIRLANUVO,Aditya Birla Nuvo Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,MEDIUM,nifty500_constituents.csv & parent_events.csv
SEC_0013,INE14LE01019,ABLBL,ABLBL,Aditya Birla Lifestyle Brands Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0014,INE055A01016,ABREL,ABREL,Aditya Birla Real Estate Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0015,INE404A01024,ABSLAMC,ABSLAMC,Aditya Birla Sun Life AMC Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0016,INE012A01025,ACC,ACC,ACC Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0017,INE731H01025,ACE,ACE,Action Construction Equipment Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0018,INSUFFICIENT_ISIN_COVERAGE,ACI,ACI,Archean Chemical Industries Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,MEDIUM,nifty500_constituents.csv & parent_events.csv
SEC_0019,INE622W01025,ACMESOLAR,ACMESOLAR,ACME Solar Holdings Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0020,INE00FF01025,ACUTAAS,ACUTAAS,Acutaas Chemicals Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
SEC_0021,INE931S01010,ADANIENSOL,ADANIENSOL,Adani Energy Solutions Ltd.,2018-01-01,9999-12-31,IDENTITY_DIRECT,HIGH,nifty500_constituents.csv & parent_events.csv
