source_document,review_period,total_rows,additions,deletions,replacements
ind_prs11122024.pdf,2024-DEC,78,39,39,0
ind_prs28022024.pdf,2024-MAR,68,34,34,0
ind_prs24022022_1.pdf,2022-MAR,64,32,32,0
ind_prs07062024.pdf,2024-JUN,62,31,31,0
ind_prs23022026.pdf,2026-MAR,62,31,31,0
ind_prs21022025.pdf,2025-MAR,60,30,30,0
ind_prs22052024.pdf,2024-MAY,54,29,25,0
ind_prs23082024.pdf,2024-SEP,54,27,27,0
ind_prs08122021.pdf,2021-DEC,52,26,26,0
ind_prs23022021.pdf,2021-MAR,48,24,24,0
ind_prs07122023.pdf,2023-DEC,46,19,27,0
ind_prs23092024.pdf,2024-SEP,42,14,28,0
ind_prs17022023_1.pdf,2023-MAR,40,20,20,0
ind_prs01092022.pdf,2022-SEP,36,18,18,0
ind_prs17082023.pdf,2023-SEP,36,18,18,0
ind_prs11122020.pdf,2021-JAN,36,15,21,0
ind_prs22082025.pdf,2025-SEP,36,18,18,0
ind_prs15092025.pdf,2025-SEP,34,16,18,0
ind_prs13032025.pdf,2025-MAR,30,12,18,0
ind_prs15092023.pdf,2023-SEP,26,13,13,0
ind_prs12032026.pdf,2026-MAR,25,8,17,0
ind_prs10102024_1.pdf,2024-SEP,20,5,15,0
ind_prs20102022_1.pdf,2022-SEP,19,16,3,0
ind_prs23082022.pdf,2022-SEP,16,10,6,0
ind_prs06032023.pdf,2023-MAR,15,8,7,0
ind_prs17102025.pdf,2025-SEP,14,7,7,0
ind_prs26072022.pdf,2022-SEP,14,10,4,0
ind_prs09062023.pdf,2023-JUN,12,6,6,0
ind_prs15062022.pdf,2022-JUN,12,6,6,0
ind_prs06062025.pdf,2025-JUN,12,6,6,0
ind_prs22082025_1.pdf,2025-SEP,11,5,6,0
ind_prs23082023.pdf,2023-SEP,11,5,6,0
ind_prs24072024.pdf,2024-JUL,8,1,7,0
ind_prs17072026_1.pdf,2026-JUL,8,5,3,0
ind_prs24072023.pdf,2023-JUL,7,2,5,0
ind_prs27042017.pdf,2017-MAY,6,3,3,0
ind_prs10062026.pdf,2026-JUN,6,3,0,3
ind_prs07032017.pdf,2017-MAR,6,3,3,0
ind_prs06122022.pdf,2022-DEC,6,3,3,0
ind_prs24072025.pdf,2025-JUL,6,0,6,0
ind_prs11072022.pdf,2022-SEP,6,3,3,0
ind_prs18122019.pdf,2019-DEC,6,3,3,0
ind_prs18022025.pdf,2025-MAR,4,0,4,0
ind_prs22042021.pdf,2021-MAR,4,0,4,0
ind_prs19042023_1.pdf,2023-MAR,4,0,4,0
ind_prs19122019.pdf,2019-DEC,4,0,4,0
ind_prs21042025_1.pdf,2025-MAR,3,3,0,0
ind_prs29082017.pdf,2017-SEP,2,0,2,0
ind_prs23032020.pdf,2020-MAR,2,0,2,0
ind_prs22102021.pdf,2021-SEP,2,0,2,0
ind_prs26102020.pdf,2020-NOV,2,0,2,0
ind_prs22112024.pdf,2024-NOV,2,2,0,0
ind_prs24052022.pdf,2022-MAY,2,0,2,0
ind_prs22122022.pdf,2022-DEC,2,0,2,0
ind_prs24042024.pdf,2024-MAR,2,0,2,0
ind_prs01082018.pdf,2018-SEP,2,0,2,0
ind_prs17092019.pdf,2019-SEP,2,0,2,0
ind_prs11122025.pdf,2025-DEC,2,0,2,0
ind_prs10102024.pdf,2024-SEP,2,0,2,0
ind_prs02072020_1.pdf,2020-JUL,2,0,2,0
ind_prs04042025_2.pdf,2025-MAR,2,0,2,0
ind_prs04052026.pdf,2026-MAY,2,0,2,0
ind_prs04072023.pdf,2023-JUL,2,0,2,0
ind_prs04102024.pdf,2024-SEP,2,0,2,0
ind_prs05042022.pdf,2022-MAY,2,0,2,0
ind_prs05042022_1.pdf,2022-MAR,2,0,2,0
ind_prs06032018.pdf,2018-MAR,2,0,2,0
ind_prs06042022.pdf,2022-MAR,2,0,2,0
ind_prs07092020.pdf,2020-SEP,2,0,2,0
ind_prs09012020.pdf,2020-JAN,2,0,2,0
ind_prs09022023_1.pdf,2023-MAR,2,0,2,0
ind_prs31082018.pdf,2018-SEP,2,0,2,0
ind_prs12032020.pdf,2020-MAR,2,0,2,0
ind_prs13072026_1.pdf,2026-JUL,2,0,2,0
ind_prs15062021.pdf,2021-JUN,2,0,2,0
ind_prs15092025_1.pdf,2025-SEP,2,0,2,0
ind_prs16092022.pdf,2022-SEP,2,0,2,0
ind_prs17032025.pdf,2025-MAR,2,0,2,0
ind_prs17102023.pdf,2023-SEP,2,0,2,0
ind_prs17112025_1.pdf,2025-NOV,2,0,2,0
ind_prs18112020.pdf,2020-NOV,2,0,2,0
ind_prs19012024.pdf,2024-JAN,2,2,0,0
ind_prs19032024.pdf,2024-MAR,2,2,0,0
ind_prs20052026_1.pdf,2026-MAY,1,1,0,0
ind_prs21062024_1.pdf,2024-JUN,1,0,1,0
ind_prs20022026_2.pdf,2026-MAR,1,1,0,0
ind_prs21022023.pdf,2023-MAR,1,1,0,0
