symbol,conflict_attribution,first_known_event,last_known_event,first_event_date,last_event_date,currently_present,confidence
ABBOTINDIA,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
ABCAPITAL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,,,True,HIGH
ABREL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"August 29, 2025","August 29, 2025",True,HIGH
ABSLAMC,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March
31, 2022","June 30,
2025",True,MEDIUM
ADANIENT,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
ADANIGAS,CORPORATE_ACTION,ADDITION,ADDITION,"January 1, 2021","January 1, 2021",False,MEDIUM
ADANIGREEN,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
ADANIPORTS,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024","December 31, 2024",True,MEDIUM
ADANIPOWER,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 31, 2023","December 31, 2024",True,MEDIUM
AEGISCHEM,CORPORATE_ACTION,ADDITION,ADDITION,"August 31, 2023","August 31, 2023",False,MEDIUM
AEGISLOG,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"August 29, 2025","August 29, 2025",True,HIGH
AFFLE,PROVEN_MISSING_EVENT,ADDITION,DELETION,"December 26, 2019",,True,MEDIUM
AIAENG,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
AKZOINDIA,CORPORATE_ACTION,ADDITION,ADDITION,"September 30, 2025","September 30, 2025",False,MEDIUM
ALLCARGO,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"November 02, 2020",,False,HIGH
ANGELBRKG,CORPORATE_ACTION,ADDITION,ADDITION,,,False,MEDIUM
APOLLOHOSP,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"September 30, 2025","September 30, 2025",True,HIGH
ASHOKLEY,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"January 1, 2021","January 1, 2021",True,HIGH
ATGL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"July 31, 2023","July 31, 2026",True,HIGH
AWL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"September 30, 2022",,True,MEDIUM
AXISBANK,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,,,True,HIGH
BAJAJ-AUTO,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024","December 31, 2024",True,MEDIUM
BALAMINES,CORPORATE_ACTION,ADDITION,ADDITION,"August 08, 2022",,False,MEDIUM
BALKRISIND,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"July 31, 2023","July 31, 2023",True,HIGH
BALRAMCHIN,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
BANKBARODA,PROVEN_MISSING_EVENT,ADDITION,DELETION,"January 1, 2021",,True,MEDIUM
BANKINDIA,PROVEN_MISSING_EVENT,ADDITION,DELETION,"January 1, 2021",,True,MEDIUM
BATAINDIA,PROVEN_MISSING_EVENT,ADDITION,DELETION,"May 31, 2024",,True,MEDIUM
BCG,CORPORATE_ACTION,ADDITION,ADDITION,"March
31, 2022",,False,MEDIUM
BDL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024",,True,MEDIUM
BEL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024","December 31, 2024",True,MEDIUM
BHARTIARTL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"January 1, 2021","January 1, 2021",True,HIGH
BHEL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2024",True,HIGH
BIOCON,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 31, 2023","May 31, 2024",True,MEDIUM
BOSCHLTD,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,,,True,HIGH
BPCL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021",,True,HIGH
BRITANNIA,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"August 08, 2022",,True,HIGH
BSE LTD.*,CORPORATE_ACTION,ADDITION,ADDITION,"March 28, 2024","March 28, 2024",False,MEDIUM
CAPLIPOINT,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"March 31, 2023",,True,HIGH
CDSL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
CGCL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"March
31, 2022","April 12, 2022",True,HIGH
CGPOWER,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 26, 2019","September 30, 2025",True,HIGH
CHENNPETRO,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024",,True,MEDIUM
CLEAN,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March
31, 2022","September 30, 2024",True,MEDIUM
COALINDIA,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"September 30, 2025","September 30, 2025",True,HIGH
COCHINSHIP,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2024","December 31, 2024",True,HIGH
CONCOR,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
CONCORDBIO,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"October 26, 2023","October 26, 2023",True,HIGH
CUMMINSIND,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024","December 31, 2024",True,MEDIUM
CYIENT,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
DIXON,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024","February 28, 2025",True,MEDIUM
EIDPARRY,PROVEN_MISSING_EVENT,ADDITION,DELETION,,,True,MEDIUM
ELECON,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024","July 31, 2026",True,MEDIUM
ERIS,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"April 02, 2018",,True,HIGH
ESCORTS,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
EXIDEIND,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024",,True,MEDIUM
FACT,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
FEDERALBNK,PROVEN_MISSING_EVENT,ADDITION,DELETION,"January 1, 2021",,True,MEDIUM
GESHIP,PROVEN_MISSING_EVENT,ADDITION,DELETION,"January 1, 2021","June 30, 2022",True,MEDIUM
GET&D,CORPORATE_ACTION,ADDITION,ADDITION,"September 30, 2024","September 30, 2024",False,MEDIUM
GICRE,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
GLAND,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 30, 2021","June 30, 2021",True,HIGH
GLAXO,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"July 31, 2023","July 31, 2023",True,HIGH
GLS,CORPORATE_ACTION,ADDITION,ADDITION,"March
31, 2022",,False,MEDIUM
GMDCLTD,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024",,True,MEDIUM
GODREJCP,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"July 31, 2024","July 31, 2024",True,HIGH
GRAPHITE,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
GRASIM,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 26, 2017","May 31, 2024",True,HIGH
GSPL,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"May 12, 2026",,False,HIGH
HAL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2024",,True,HIGH
HAPPSTMNDS,CORPORATE_ACTION,ADDITION,ADDITION,"December 31, 2021",,False,MEDIUM
HEMIPROP,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"September 30, 2022",,False,HIGH
HINDPETRO,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"January 1, 2021","January 1, 2021",True,HIGH
HINDZINC,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"January 1, 2021",,True,HIGH
HONASA,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024","October 31, 2025",True,MEDIUM
HONAUT,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
ICIL,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"September 30, 2022",,False,HIGH
IDEA,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"September 30, 2024","September 30, 2024",True,HIGH
IDFC,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"December 31, 2021",,False,HIGH
IGIL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2025","July 31, 2025",True,MEDIUM
IIFL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"September 27, 2019","April 26, 2024",True,HIGH
INDIACEM,PROVEN_MISSING_EVENT,ADDITION,DELETION,"October 31, 2024","August 29, 2025",True,MEDIUM
INDIAMART,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
"INDIAN RENEWABLE ENERGY DEV.
AGENCY LTD.",CORPORATE_ACTION,ADDITION,ADDITION,"March 28, 2024","March 28, 2024",False,MEDIUM
INGERRAND,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"March
31, 2022",,False,HIGH
IOC,PROVEN_MISSING_EVENT,ADDITION,DELETION,"September 30, 2024","September 30, 2025",True,MEDIUM
IRB,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 30, 2022","June 30, 2022",True,HIGH
IRCTC,PROVEN_MISSING_EVENT,ADDITION,DELETION,"December 31, 2021","October 31, 2024",True,MEDIUM
IRFC,PROVEN_MISSING_EVENT,ADDITION,DELETION,"December 31, 2021","December 31, 2024",True,MEDIUM
ITI,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
J&KBANK,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024",,True,MEDIUM
JSWCEMENT,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2025","December 31, 2025",True,HIGH
JUBLFOOD,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
JWL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024","December 31, 2024",True,MEDIUM
KARURVYSYA,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
KIMS,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March
31, 2022","September 30, 2024",True,MEDIUM
KIRLFER,CORPORATE_ACTION,ADDITION,ADDITION,"September 29, 2023",,False,MEDIUM
KOTAKBANK,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"January 1, 2021","January 1, 2021",True,HIGH
KPIL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"June 28, 2024","December 31, 2024",True,MEDIUM
KSB,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"March
31, 2022",,False,HIGH
LALPATHLAB,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 08, 2022","July 31, 2024",True,MEDIUM
MANKIND,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"July 13, 2023","September 30, 2025",True,HIGH
